"country","journal","n.useable.papers","n.authors","gender.ratio.of.sample","observed.alpha","lower.95.CI","upper.95.CI","alpha.adjusted","lower.95.CI2","upper.95.CI2","two.tail.p.value"
"Australia","ANZ J Surg",59,215,20.9302325581395,-0.0317055711173359,-0.101964740009551,0.0248700386622644,-0.023688141923436,-0.0962122803598147,0.0298580450117846,0.634
"USA","Appetite",61,256,80.859375,0.0692788364483129,-0.0720733724472907,0.167943324959741,0.072081613873983,-0.0730414201086223,0.170723127825917,0.188
"USA","Appl Environ Microbiol",83,387,39.7932816537468,-0.0170758119869094,-0.0679339587827921,0.0429101658550368,-0.0152878084515117,-0.0659281702025626,0.0444376978749023,0.637
"Egypt","Arab J Urol",60,312,7.69230769230769,0.179976851851852,0.0783934405346346,0.274896192672229,0.188078703703704,0.086459278125751,0.276900955535397,0
"USA","Arch Pathol Lab Med",58,195,38.974358974359,0.0706445257528849,-0.0361782145686413,0.135715109345639,0.0790579389650597,-0.0285734838548464,0.148371163110553,0.33
"Brazil","Arq Bras Cardiol",53,268,39.5522388059701,0.0885503902624797,0.00654552775151704,0.143612408743965,0.0937646741280563,0.00818767145293482,0.147576462276336,0.053
"USA","Arthroscopy",50,246,12.6016260162602,-0.0389068695745365,-0.0791537809991803,0.0288195447606754,-0.0308455685349909,-0.0700364191712963,0.0356320142246656,0.418
"Iran","Asian Pac J Cancer Prev",103,463,37.1490280777538,0.0527391037130908,-0.0180003018752545,0.122528735214668,0.0551608945744045,-0.0146718217795585,0.127976941159642,0.139
"USA","Behav Brain Res",74,318,49.3710691823899,0.0152380198825584,-0.0561325959892007,0.120550876944938,0.0179523263196168,-0.0559221011486955,0.126842471398133,0.748
"USA","Biochemistry",108,417,30.6954436450839,0.00969263624567485,-0.0656035592862584,0.12330142720751,0.0101946431145989,-0.0644484663166666,0.119205481943629,0.818
"USA","Biochim Biophys Acta",122,402,36.318407960199,-0.00090776357632083,-0.0755980527140004,0.0591532738095238,0.0030687505096218,-0.0704345227646597,0.0677917869705862,0.979
"USA","Biomed Res Int",55,207,42.0289855072464,-0.00856321839080454,-0.0946766052325533,0.0694690258448729,-0.00462643678160912,-0.0918024089036643,0.0627633078425844,0.884
"USA","Bioorg Med Chem Lett",55,258,28.6821705426357,0.0278170639583682,-0.0660462603519669,0.0621513132328816,0.032136911756477,-0.05404740766446,0.0700831854714455,0.548
"USA","Biophys J",50,168,30.3571428571429,0.0474275180157534,-0.0684732772587944,0.209661401639136,0.0549019607843137,-0.0667075354582368,0.208264839380434,0.517
"United Kingdom","BMJ",75,197,42.6395939086294,0.135928501193988,-0.0226776315789473,0.227472569466422,0.138708034836353,-0.029426903339492,0.22438304719681,0.107
"USA","BMJ",52,145,29.6551724137931,0.0584272468677394,-0.111277487550044,0.212560186143858,0.064702625236141,-0.107141945034174,0.208652336864045,0.507
"India","BMJ Case Rep",107,385,18.7012987012987,0.0546976689149213,-0.0181968238183025,0.149325694917698,0.0569459235593421,-0.0140451236219052,0.157188821400981,0.24
"Portugal","BMJ Case Rep",57,210,62.3809523809524,0.134215866267272,-0.0317796686072548,0.23544055580798,0.145424678712919,-0.0204327350758296,0.248469183160854,0.03
"United Kingdom","BMJ Case Rep",56,174,29.8850574712644,-0.0148171500630517,-0.171466752172793,0.103056427764487,0,-0.170879390985619,0.110091687611069,0.873
"USA","BMJ Case Rep",167,550,32.1818181818182,0.0905671427778031,-0.0116036007755779,0.170454499427525,0.0952474717640348,-0.0038020321760817,0.172914224191141,0.023
"United Kingdom","BMJ Open",62,273,59.3406593406593,0.124585696807919,-0.00313793679461226,0.158112155268162,0.127202202202202,0.000149908753493505,0.159729322821055,0.011
"United Kingdom","BMJ Qual Improv Rep",65,209,52.1531100478469,0.129195718654434,-0.0433174050559475,0.187579831874486,0.131663608562691,-0.0469754553749322,0.197339401432605,0.058
"USA","Brain Res",82,308,38.6363636363636,0.0645443362530197,-0.039610207092238,0.0958715738059725,0.0699716923806559,-0.0366617231530396,0.0980959892799923,0.21
"France","Bull Cancer",50,236,48.728813559322,0.121304518932978,0.0306262192969412,0.217811188579523,0.124064587147591,0.0239731049287718,0.227822485648656,0.011
"Brazil","Cad Saude Publica",50,189,69.3121693121693,0.108765464595946,-0.0454472506749025,0.205487402234685,0.119577520400105,-0.03873346318146,0.210658692106892,0.082
"Canada","Can J Cardiol",50,206,24.7572815533981,0.00366013071895421,-0.0570777087353728,0.133247681932667,0.00947240544963507,-0.0524478928368217,0.147433284115743,0.944
"Canada","Can J Neurol Sci",52,237,42.6160337552743,0.16768330194364,0.0431371767983568,0.209544844309162,0.172444702453439,0.0466389147050694,0.216140267377718,0
"USA","Cancer",74,259,44.4015444015444,0.0768816306715923,0.000892814353687218,0.174980856120628,0.0819429347826087,-0.00459877942392439,0.178148938474289,0.215
"USA","Card Electrophysiol Clin",73,171,15.7894736842105,-0.0702160493827161,-0.159254777070064,0.156707534165414,-0.0586419753086419,-0.144274521774522,0.16373260202878,0.489
"USA","Cardiol Young",65,245,40.4081632653061,0.127138969604723,0.0263197918902114,0.268706561911406,0.135199022185324,0.0333564060249126,0.275232323353859,0.03
"USA","Cell",112,347,32.5648414985591,0.0947274537982503,-0.00739351930639315,0.157321466356839,0.0939392506870383,-0.0117649070240294,0.162756552987522,0.095
"USA","Cell Rep",67,376,37.2340425531915,0.0511266067803599,-0.0339929966355009,0.0987345660294776,0.0579677176468945,-0.0309923696292643,0.107667116305174,0.181
"Germany","Chem Commun (Camb)",55,235,25.531914893617,-0.0630952380952381,-0.124136326947147,0.0183828194983577,-0.0526485260770975,-0.11858752947662,0.0212654167374282,0.231
"USA","Chem Commun (Camb)",84,297,26.9360269360269,0.125195852534562,-0.000988894620003366,0.205329004977253,0.130267445687953,-0.00145396198081096,0.212351871944366,0.016
"USA","Chemosphere",55,213,32.8638497652582,0.028981018981019,-0.0730516052176681,0.155619966113437,0.0373559773559774,-0.0594482815989762,0.167499327061827,0.655
"Brazil","Cien Saude Colet",55,213,74.6478873239437,0.0978811021263851,0.00594990443538639,0.26208674349657,0.106644121659845,0.0228589895971711,0.275799705964117,0.098
"Mexico","Cir Cir",53,260,27.6923076923077,0.0235914105594957,-0.0424124214903352,0.0782353374426649,0.0294523246650906,-0.0403629506977075,0.0831437662083952,0.607
"USA","Circ Res",64,213,29.5774647887324,0.0384776334776336,-0.0368450639897832,0.171722964926923,0.0422106782106782,-0.0237562359986631,0.182181482568663,0.604
"USA","Circulation",122,451,29.7117516629712,0.137827872803625,0.0864004230531484,0.216476642496442,0.141441617325604,0.0885905972125765,0.224724401882637,0.001
"USA","Clin Gastroenterol Hepatol",55,186,26.8817204301075,0.195963800904977,-0.0217708304582703,0.220278716676661,0.201955882352941,-0.00136463271909516,0.219819932013592,0.003
"USA","Clin Pediatr (Phila)",82,301,65.1162790697674,0.00300453514739235,-0.0348030687613398,0.163677363724854,0.0105515063168125,-0.030571961789415,0.169581889955489,0.952
"Romania","Clujul Med",75,278,57.9136690647482,0.111978704525288,-0.0014470233937511,0.223269864345338,0.120982008559648,0.000390753681580194,0.239065720975526,0.036
"Canada","CMAJ",94,278,30.9352517985612,0.219119139904024,0.063814327882172,0.290853465702055,0.221115956072351,0.0545756512298019,0.297094282181567,0
"Australia","Cochrane Database Syst Rev",64,268,59.7014925373134,0.0738756613756614,-0.0424522099144198,0.158819297194769,0.0805004409171076,-0.0338857128025355,0.155778388248091,0.131
"United Kingdom","Cochrane Database Syst Rev",146,656,54.8780487804878,0.0660524810524811,-0.011465149235293,0.106596055085363,0.0677543615043615,-0.00534616162821536,0.107606474433008,0.037
"USA","Contraception",53,205,72.6829268292683,0.111086380861069,-0.0335673211868316,0.205834299605728,0.117422080689099,-0.0349056847289899,0.203800044186463,0.089
"USA","Crit Care Med",108,428,30.8411214953271,0.0637132855882856,0.0275890439153895,0.140183979408708,0.0668056839931839,0.0273448443654554,0.142504267528498,0.147
"USA","Curr Biol",91,285,31.2280701754386,0.0447753776835409,-0.057490646859137,0.122766946470277,0.0464129928200668,-0.051541667609628,0.119942520467669,0.441
"USA","Curr Opin Pediatr",63,160,51.875,-0.151619464872477,-0.286415791616918,0.0153460706015012,-0.150211234548584,-0.29213348070512,0.00170586962390542,0.117
"USA","Cutis",66,206,57.7669902912621,0.0588428474838211,-0.0690222423744838,0.197191054755495,0.0659937538233684,-0.0573460204453866,0.207367376425968,0.402
"Germany","Dalton Trans",53,251,20.7171314741036,-0.0250233156012051,-0.0575331406525458,0.0748758501654082,-0.0157182048827778,-0.0448808529362058,0.083494834370563,0.634
"USA","Dalton Trans",73,288,23.2638888888889,0.0451002904031877,-0.0368948268319769,0.175169900907688,0.0547694623199452,-0.0292443446309492,0.184376332162032,0.4
"USA","Data Brief",50,190,34.2105263157895,0.0845479853479854,-0.0359088696498923,0.187244326844662,0.0972410256410257,-0.0213438312066821,0.208399488731528,0.188
"USA","Dermatol Surg",105,353,45.6090651558074,0.0792337541900818,0.00223217121776968,0.187872835369506,0.0851252223413521,0.00492926048784741,0.185410753132519,0.123
"USA","Dev Cell",61,192,41.6666666666667,0.0546938775510203,-0.0694656299327089,0.152481702728469,0.0548894557823129,-0.0628986114651999,0.153479905469075,0.46
"USA","Development",52,201,45.771144278607,0.0598944384295401,-0.0414487543003583,0.151851573677592,0.0678707951070335,-0.0355266779150107,0.154538381696404,0.333
"USA","Drug Alcohol Depend",106,488,50.2049180327869,0.0164443411911288,-0.0472683184131671,0.0736229089193825,0.0167015437461393,-0.045571185190409,0.0716920693862616,0.627
"USA","Ear Nose Throat",62,199,27.6381909547739,0.209360269360269,0.0499849497336776,0.294185975125284,0.215248316498316,0.0554246422171983,0.302905682962992,0.001
"USA","Ecol Evol",60,182,30.7692307692308,0.105820105820106,-0.0562556200987674,0.268019476246875,0.111772486772487,-0.0518302277432712,0.260248416988234,0.182
"Brazil","Einstein (Sao Paulo)",80,347,54.4668587896254,0.228954786534654,0.106165080582652,0.286211162450988,0.233743393008513,0.104008228861859,0.291872334530536,0
"Iran","Electron Physician",69,297,32.996632996633,0.123051481899292,-0.0067332342135962,0.221028718186184,0.125006409599015,-0.00765729357580472,0.222480152149903,0.01
"USA","Elife",90,324,40.4320987654321,0.0732863647377237,-0.0356387772035189,0.121576687999385,0.0766503017771599,-0.0372051916156584,0.12230180087101,0.172
"Iran","Emerg (Tehran)",75,341,22.8739002932551,-0.00955770043222515,-0.0837146449343062,0.0808585240345284,-0.00625333686170187,-0.0807898829227137,0.079538097327333,0.823
"USA","Endocrinology",54,246,58.9430894308943,0.0563514282462729,-0.0392764209679199,0.0997217884561448,0.0612177079776943,-0.0377482342684267,0.100063873211736,0.254
"USA","Environ Sci Technol",140,567,31.9223985890653,0.0287443105373143,-0.02907754921993,0.0778287200433561,0.0322656943291444,-0.0178544650102692,0.0866333993822429,0.421
"USA","Environ Toxicol Chem",55,216,39.8148148148148,-0.0225913621262458,-0.0955718168210705,0.0579794319386419,-0.016084845387171,-0.0906032752256037,0.0624997648891151,0.704
"USA","Eur Urol",56,158,18.9873417721519,-0.0869357638888889,-0.146311968240326,0.0458196608196608,-0.068576388888889,-0.119992724365075,0.0552730994118072,0.328
"USA","F1000Res",95,255,33.7254901960784,0.0336845623071026,-0.0713619387008312,0.161611689960578,0.0403536535021329,-0.0661521377919571,0.177637119100811,0.62
"USA","Front Immunol",59,212,47.1698113207547,0.00435714285714284,-0.0922875878707898,0.0978903703075682,0.0129345238095239,-0.080878952130277,0.102171193910569,0.947
"USA","Front Microbiol",105,447,39.5973154362416,0.00537432888656997,-0.0531877160603603,0.0658702444625702,0.00950559989637201,-0.0417328303328445,0.0701203584522601,0.878
"USA","Front Neurosci",56,185,37.2972972972973,0.0716100283191737,-0.0679801387029218,0.135607187327062,0.0808420194664573,-0.0544967336759791,0.150843602031714,0.348
"Germany","Front Psychol",70,199,46.2311557788945,0.0539211702559935,-0.0809952994990416,0.221477516035723,0.0572768522280915,-0.0783755448072856,0.228370224043093,0.465
"Italy","Front Psychol",76,276,61.9565217391304,0.149429128376497,0.0510856209779163,0.256424501845294,0.151155666945141,0.0595608776948136,0.266612896117128,0.004
"USA","Front Psychol",153,455,55.1648351648352,0.0901980314037966,0.000511778768376404,0.152555429704704,0.0912086946332319,0.000896594420093324,0.158848645983886,0.068
"USA","G3 (Bethesda)",64,216,40.2777777777778,0.0233932867453317,-0.097767275229791,0.13222816494423,0.0276778554244473,-0.08944622801463,0.131482276071205,0.734
"USA","Gastroenterology",61,169,33.7278106508876,-0.0750748398774714,-0.17046520857343,0.0374616486916647,-0.0647103870788082,-0.156801432242222,0.0563153588089429,0.391
"USA","Gastrointest Endosc",120,380,17.6315789473684,0.103694217184275,-0.026249994188194,0.190592786204854,0.107254689582666,-0.0198993827028866,0.192697468964705,0.043
"USA","Genetics",75,270,38.8888888888889,0.0425974025974025,-0.0464991016117918,0.13066623342146,0.0524675324675324,-0.0404152277146747,0.139047736261457,0.456
"USA","Genome Announc",106,412,33.252427184466,-0.00639074793819316,-0.0845519218193862,0.038030471334509,-0.00406180680633234,-0.0847729014517237,0.0370420887297695,0.896
"Iran","Glob J Health Sci",56,233,41.2017167381974,0.0951093200865099,-0.0158662276189854,0.162176401546322,0.0997013550959718,-0.0125035565940938,0.163877682379678,0.071
"USA","Gynecol Oncol",67,388,56.4432989690722,0.0583873659986167,0.0128184913807514,0.119895380153897,0.0625121398405016,0.00946876231559404,0.123299084984389,0.088
"India","Indian Dermatol Online",53,167,39.5209580838323,0.0630363036303631,-0.0914580280830281,0.185287858082864,0.0668066806680668,-0.0897304965510143,0.191413963909373,0.423
"India","Indian J Anaesth",62,210,45.7142857142857,0.028234649122807,-0.114725108712068,0.109886488791305,0.0340369152046784,-0.105403098645456,0.119199370620711,0.666
"India","Indian J Dermatol",72,231,43.7229437229437,-0.0579436405178979,-0.154812251929213,0.0141415683077793,-0.0539527798933739,-0.148729525843084,0.0251387717095996,0.381
"India","Indian Pediatr",72,202,40.0990099009901,0.110328878005646,-0.0461466503267975,0.2271875,0.11988232493283,-0.0321573957909177,0.248639884318204,0.149
"USA","Infect Immun",51,212,41.5094339622642,0.00860913280268116,-0.0822470697797977,0.0833525773860596,0.0183642298561653,-0.0731564544491419,0.0943766720427952,0.882
"USA","Inflamm Bowel Dis",70,416,41.3461538461538,0.0821402302530782,0.0396020825379563,0.15660958338931,0.0857253434073869,0.042252030013332,0.161752121779837,0.014
"USA","Inorg Chem",88,346,26.878612716763,0.139742445492796,0.0381003554393984,0.238690030470494,0.145441997615911,0.0401271492078608,0.242395610411755,0.002
"USA","Insects",54,167,32.3353293413174,0.0475909537856442,-0.0792286872484241,0.160986731452835,0.0519993444772207,-0.0815952644708947,0.173790369088516,0.574
"Italy","Int J Cardiol",79,433,26.5588914549654,0.0135598895073874,-0.0517593923773973,0.0491761824797169,0.0162950095661334,-0.0518258012490098,0.0531506603510099,0.681
"USA","Int J Cardiol",79,371,21.5633423180593,0.112879178381756,0.0259298111612335,0.209877136787286,0.11857459908362,0.0327208634269138,0.217687559632385,0.002
"USA","Int J Environ Res Public Health",54,206,58.252427184466,0.0358720930232558,-0.0444331015542595,0.161938123372086,0.0405878552971576,-0.0505777309068472,0.172986182800472,0.58
"USA","Int J Pediatr Otorhinolaryngol",68,244,40.1639344262295,0.0205665827975026,-0.0854428906489405,0.117442509551381,0.0250116484950145,-0.081078132878106,0.123827859281047,0.718
"Japan","Intern Med",119,579,18.6528497409326,0.0565073186623081,0.0196688380993564,0.121632654541829,0.0612075090710972,0.0261713690615526,0.12722235863626,0.059
"USA","Invest Ophthalmol Vis Sci",52,246,40.2439024390244,0.0927525988750478,-0.0135235891234947,0.141865033871935,0.0978605294931825,-0.00696657176355926,0.144095316171697,0.057
"Iran","Iran J Med Sci",67,245,40,0.19185293164885,0.023953443877551,0.254653584575313,0.196833495302883,0.0334338438645317,0.246527613249479,0.001
"Iran","Iran J Public Health",69,296,27.7027027027027,0.0634500924448497,-0.00694513923282225,0.137701947913466,0.069480174107482,-0.00354547615902339,0.146662096193154,0.174
"USA","J Acoust Soc Am",126,369,30.0813008130081,0.139283469516028,0.0539899562734621,0.276756480239572,0.141842132830505,0.0572574608104374,0.28124919479579,0.01
"USA","J Acquir Immune Defic Syndr",61,367,47.4114441416894,0.0434974495855326,-0.0323654982776427,0.0896800553218755,0.0475796796325652,-0.0292513131119161,0.0927723638912912,0.195
"USA","J Affect Disord",56,305,48.8524590163934,0.104165130171842,0.0484117157835764,0.265128504681193,0.108607819597753,0.0515168103274732,0.264780703365059,0.013
"USA","J Am Acad Dermatol",52,183,46.448087431694,0.0524129651860744,-0.0772787682863114,0.208217105263158,0.0567003944434917,-0.0790630590046413,0.195323648326852,0.444
"USA","J Am Board Fam Med",58,289,53.2871972318339,0.0549033418081037,-0.0216475077685395,0.138019794503063,0.059249887384808,-0.0203170646406432,0.153970190779309,0.222
"USA","J Am Chem Soc",239,887,23.9007891770011,0.0674941060957832,0.0110316249627041,0.135343778880401,0.0677410810518776,0.0128364602756601,0.131399825495265,0.025
"USA","J Am Coll Cardiol",76,212,20.7547169811321,0.046585359085359,-0.0668644576898748,0.101035551619433,0.0526581553367267,-0.0560248597422736,0.110589761949875,0.578
"USA","J Am Coll Radiol",57,201,32.8358208955224,0.0584872534872535,-0.051774343914252,0.131822640566062,0.0610702260702261,-0.0510104726347935,0.137609059877627,0.393
"USA","J Arthroplasty",98,459,18.082788671024,0.0802742886439375,0.0121071791787815,0.149702699730075,0.0833440143552936,0.0212038177521327,0.152738720463348,0.025
"USA","J Bacteriol",74,271,42.4354243542435,0.0505249822641126,-0.0535304974981112,0.113064114768133,0.0551823418127765,-0.0409192965007353,0.120989825161396,0.377
"USA","J Biol Chem",163,609,40.3940886699507,0.0100808528746444,-0.037488341660675,0.0832810583303615,0.013374506334595,-0.0345331347912596,0.080773125704432,0.778
"USA","J Biomech",66,260,28.4615384615385,0.105080887338952,0.0182067688817515,0.189745325183857,0.113835609803352,0.0346381513249267,0.198075988437409,0.066
"USA","J Bone Joint Surg Am",56,255,12.5490196078431,0.0669375934230194,-0.0655161229928307,0.141548515497406,0.0770272795216741,-0.0560715404928371,0.154168996044297,0.183
"India","J Cancer Res Ther",63,221,41.6289592760181,-0.00866475676890233,-0.0922516125436098,0.12651007822798,-0.00248286709358503,-0.0802805409353092,0.128744912851359,0.885
"Italy","J Cardiovasc Med (Hagerstown)",65,567,31.9223985890653,0.0292525561919831,-0.0172912664824001,0.0865069684274266,0.0302996092519967,-0.0158730072489002,0.0829917397358429,0.169
"USA","J Cataract Refract Surg",60,269,23.4200743494424,0.11938225128239,0.0512548041306401,0.258351006970918,0.123624045087291,0.0581318165664641,0.260401436046991,0.016
"Germany","J Chem Phys",68,206,9.70873786407767,-0.10752688172043,-0.157408392434988,-0.0891063190088642,-0.0922939068100357,-0.138982226678842,-0.0713054866280671,0.147
"USA","J Chem Phys",225,667,15.4422788605697,0.10059331175836,0.0219272326343931,0.156361573220717,0.107163350088365,0.0306120004697611,0.165281750557226,0.009
"Canada","J Chem Theory Comput",53,149,16.1073825503356,0.0149444444444445,-0.0830071187034221,0.152214186825193,0.0298,-0.0650688261673461,0.16683606606962,0.874
"Germany","J Chem Theory Comput",118,344,14.5348837209302,0.0132426303854875,-0.0763889260977921,0.11940790636808,0.0234013605442177,-0.0637824666772034,0.140427305522111,0.842
"Italy","J Chem Theory Comput",60,216,26.3888888888889,-0.00099304865938421,-0.099606904713304,0.0815541693656884,0.00695134061569025,-0.0949550214993363,0.0773024904624441,1
"Spain","J Chem Theory Comput",54,187,17.1122994652406,-0.0179435483870968,-0.107950065748979,0.105887629717144,-0.00754032258064519,-0.0977889270709596,0.122274640299817,0.812
"USA","J Chem Theory Comput",443,1244,16.2379421221865,0.052423745253604,-0.000256971433495195,0.0883690633374501,0.0531626949368916,-0.0006392146371338,0.0932091073159241,0.09
"India","J Clin Diagn Res",466,1777,38.4355655599325,0.0785019439506446,0.0403206350176215,0.118893497158323,0.0799926449416815,0.0380385724442845,0.119795772664463,0.001
"USA","J Clin Microbiol",70,300,51,0.0425034482657531,-0.0545389496391735,0.0795158484342184,0.047949175600236,-0.0445048278941791,0.0903029128648234,0.377
"USA","J Clin Neurosci",77,355,21.1267605633803,0.03669277283563,0.00513921074051229,0.144186229361454,0.0390321457642887,0.00318203120202095,0.149932468141129,0.374
"USA","J Clin Oncol",74,339,40.7079646017699,0.0237795450157553,-0.0392653704716361,0.108192277566912,0.0253901721130793,-0.0381665147388839,0.102860461337762,0.598
"Turkey","J Craniofac Surg",92,425,22.8235294117647,0.0867540440868325,-0.0184956629182673,0.130325867919202,0.0912800687285222,-0.0128757837742094,0.142238400967209,0.023
"USA","J Craniofac Surg",76,272,23.1617647058824,0.000954044563067136,-0.0786460948308334,0.0939075544265969,0.00693508663433479,-0.0695186061523825,0.107942121307679,0.982
"Japan","J Dermatol",56,238,32.3529411764706,0.0147670135247775,-0.0665550706912937,0.10910162252597,0.0198381328816112,-0.0627047603041635,0.113500095406665,0.768
"Germany","J Dtsch Dermatol Ges",68,259,44.015444015444,-0.0200181488203267,-0.108885207255728,0.0422838441219461,-0.0125347852389596,-0.0983849796635989,0.0434809246919276,0.721
"USA","J Econ Entomol",73,271,27.3062730627306,0.150496998085831,0.040512667995273,0.257222291468573,0.157786743827353,0.0535289686522952,0.26998948155143,0.006
"USA","J Emerg Med",96,314,35.3503184713376,0.161105933519727,0.0240348967468637,0.269233971937666,0.16466663708043,0.0290924085748369,0.270041051106505,0.001
