"journal","n.useable.papers","n.authors","gender.ratio.of.sample","observed.alpha","lower.95.CI","upper.95.CI","alpha.adjusted","lower.95.CI2","upper.95.CI2","two.tail.p.value"
"Ann Intern Med",87,174,33.3333333333333,-0.0344827586206897,-0.248239020663698,0.153830021156726,0,-0.202424248487971,0.194141849529781,0.815
"Ann N Y Acad Sci",53,106,35.8490566037736,0.0154798761609908,-0.25244079673121,0.266302367941712,0,-0.277384638065753,0.259369218406414,1
"Ann Thorac Surg",65,130,11.5384615384615,-0.130434782608696,-0.203703703703704,-0.0743801652892562,-0.150724637681159,-0.223993558776167,-0.0946700203617199,0.578
"Ann Transl Med",89,178,26.9662921348315,-0.141025641025641,-0.312280611135276,0.0494401378122309,-0.114102564102564,-0.296601681817629,0.0650580159380529,0.305
"Appl Opt",100,200,9.5,0.127653387612678,-0.104972375690608,0.38949938949939,0.116312881651643,-0.110241604862134,0.383941881040952,0.197
"Atten Percept Psychophys",50,100,34,-0.0695187165775401,-0.333333333333333,0.198045340793464,-0.089126559714795,-0.35650623885918,0.153225333661876,0.788
"BMC Bioinformatics",50,100,23,-0.0728402032749859,-0.315789473684211,0.206600361663653,0,-0.238587802144098,0.260263377241473,0.74
"BMC Public Health",53,106,50,-0.169811320754717,-0.438571428571429,0.0914932844932845,-0.150943396226415,-0.419910195340335,0.105205362951947,0.262
"BMJ",233,466,33.2618025751073,0.00429416035680941,-0.122897299984251,0.132123948720281,0,-0.121302948293329,0.146484061783751,1
"BMJ Case Rep",180,360,30.8333333333333,0.153370237707587,-0.00128369704749665,0.308817189499771,0.156300879192446,0.00599620980520136,0.296978610647044,0.057
"BMJ Open",53,106,49.0566037735849,0.169515669515669,-0.100807115413592,0.425719523958918,0.150997150997151,-0.11932563393211,0.408095257175676,0.296
"BMJ Qual Improv Rep",97,194,43.8144329896907,0.309012412304371,0.111844458469036,0.508547622363535,0.293146249325418,0.0877127277307925,0.473696463098435,0.004
"Biochem Soc Trans",66,132,44.6969696969697,0.111214302298584,-0.153246753246753,0.356396563733457,0.122591130717437,-0.116307309193708,0.3630762161964,0.446
"Biochemistry",53,106,24.5283018867925,-0.121153846153846,-0.325419303797468,0.126373626373626,-0.101923076923077,-0.322541382667965,0.129354226020893,0.474
"Biochim Biophys Acta",223,446,30.0448430493274,0.0185610409491006,-0.112292392029355,0.1536188714598,0.0213356295445848,-0.114535953358859,0.159114056898143,0.885
"Bioinformatics",73,146,17.1232876712329,0.179504132231405,-0.0977443609022557,0.438461538461538,0.193057851239669,-0.0965289256198348,0.452015257469803,0.211
"Biomed Res Int",91,182,39.5604395604396,-0.0111111111111111,-0.219974091615105,0.180191035845167,0,-0.190949621390542,0.202838501776093,1
"Blood",118,236,35.5932203389831,-0.145989974937343,-0.309568045799378,0.0240228281369407,-0.147869674185464,-0.314885746406431,0.0394829312645804,0.167
"Br J Nurs",57,114,70.1754385964912,0.161764705882353,-0.110459888213053,0.432235514987453,0.167647058823529,-0.123690817790531,0.421266968325792,0.325
"Brain Res",67,134,28.3582089552239,-0.0285087719298246,-0.267286821705426,0.191712562286913,0,-0.232667698658411,0.240288585823182,1
"CMAJ",85,170,30,0.187675070028011,-0.0434715380405035,0.397874852420307,0.168067226890756,-0.0630364796191699,0.392161286232044,0.106
"Cancer",59,118,38.135593220339,-0.0417047184170473,-0.304668304668305,0.202702702702703,0,-0.246871733153086,0.244483254196022,0.817
"Card Electrophysiol Clin",68,136,15.4411764705882,-0.182608695652174,-0.259553478712357,-0.114754098360656,-0.225258799171843,-0.301909362778928,-0.157404201880324,0.176
"Catheter Cardiovasc Interv",58,116,19.8275862068966,0.40345956054231,0.0753965966039021,0.703541438481198,0.433847592332866,0.134332356135381,0.715170640486208,0.006
"Cell",104,208,29.3269230769231,0.048957287833166,-0.136134453781513,0.235294117647059,0.0463923274227723,-0.143823701669135,0.231961637113862,0.643
"Cell Cycle",79,158,40.5063291139241,0.107047872340426,-0.122768143959067,0.317154255319149,0.105053191489362,-0.111051349229766,0.321876558964842,0.366
"Cell Mol Life Sci",56,112,40.1785714285714,-0.225870646766169,-0.468500159897665,0.0267379679144385,-0.222885572139303,-0.455602429370576,0.043828289383124,0.12
"Chem Commun (Camb)",111,222,26.5765765765766,0.145887490901529,-0.062200956937799,0.354051362683438,0.138504731205157,-0.0695837166341701,0.3212514769878,0.14
"Chemistry",102,204,21.5686274509804,0.0147727272727274,-0.168972746331237,0.214248392848649,0,-0.1877331002331,0.19274490815944,1
"Chest",81,162,29.6296296296296,-0.0657894736842106,-0.272874053330262,0.136885245901639,-0.0592105263157896,-0.271198830409357,0.17583172956238,0.608
"Circ Res",58,116,28.448275862069,0.0259218692953632,-0.228236904948816,0.280029207740051,0,-0.267301179640191,0.249983249306385,1
"Circulation",112,224,21.875,0.0857142857142859,-0.115134819341635,0.29469387755102,0.104489795918367,-0.0755088083108183,0.305472993511734,0.406
"Clin Gastroenterol Hepatol",55,110,17.2727272727273,0.172932330827068,-0.134020618556701,0.470304975922953,0.254482359745518,-0.0642833044148836,0.551855004841403,0.328
"Clin Infect Dis",83,166,30.1204819277108,0.313103448275862,0.08980903762526,0.522988505747126,0.343448275862069,0.125438710081664,0.549185407296352,0.01
"Clin Med (Lond)",50,100,40,0.25,-0.0334849111202976,0.512987012987013,0.25,-0.0400063319764812,0.502524579483535,0.134
"Cochrane Database Syst Rev",68,136,53.6764705882353,0.0241356816699282,-0.21901243852008,0.264546831062081,0.0591432920200043,-0.179390906433687,0.298279549678353,1
"Cognition",50,100,36,0.21875,-0.0833333333333334,0.485741000467508,0.260416666666667,-0.00603344742689003,0.507522848510752,0.121
"Conf Proc IEEE Eng Med Biol Soc",135,270,17.7777777777778,-0.0135135135135135,-0.159371567961597,0.153908138597905,0,-0.155385928166302,0.163435002126547,1
"Crit Care Med",90,180,22.7777777777778,-0.105457097736445,-0.274074074074074,0.0843767680460413,-0.0631689770135111,-0.234307623957917,0.126432654140366,0.384
"Curr Biol",133,266,27.4436090225564,-0.000638796224004534,-0.163273015993248,0.165691963439147,0,-0.169257448474688,0.166217442245913,1
"Curr Opin Cell Biol",53,106,32.0754716981132,-0.0392156862745098,-0.322150537634408,0.211124167645907,0,-0.259872291021672,0.268454109542784,1
"Curr Opin Microbiol",63,126,37.3015873015873,0.219499057366011,-0.0476718403547672,0.451472471190781,0.203608941556693,-0.0514511140445327,0.45360772377423,0.112
"Curr Opin Neurobiol",52,104,31.7307692307692,0.156636790439607,-0.136134453781513,0.420814556691897,0.177550149381135,-0.0836618044571648,0.443888906238614,0.343
"Curr Opin Plant Biol",51,102,31.3725490196078,-0.0928571428571429,-0.346616459627329,0.174089068825911,-0.0910714285714286,-0.34214886090738,0.175359689407215,0.536
"Curr Pharm Des",74,148,30.4054054054054,0.265587918015102,0.0333756600542314,0.493993219134811,0.255447680690399,0.0148491754364487,0.490157677273112,0.022
"Dalton Trans",90,180,17.7777777777778,-0.0641891891891891,-0.224489795918367,0.13703368370122,-0.0760135135135135,-0.236314120242692,0.105659546643418,0.724
"Data Brief",56,112,22.3214285714286,0.227586206896552,-0.077628710262865,0.513043478260869,0.205977011494253,-0.117321045359673,0.485962861265996,0.113
"Dermatol Surg",57,114,40.3508771929825,-0.020460358056266,-0.285024154589372,0.229004112808461,0,-0.262039641943734,0.250440175536083,1
"Dev Cell",60,120,39.1666666666667,-0.0142815505683475,-0.261722080136402,0.236111111111111,0,-0.275423474548665,0.260186312473109,1
"Dtsch Med Wochenschr",92,184,22.8260869565217,0.0744466800804831,-0.134868421052632,0.284487772183124,0.0617035546613013,-0.160054276498318,0.28447909680304,0.531
"EBioMedicine",62,124,33.0645161290323,0.307669703203056,0.0480513784461153,0.557142857142857,0.291507493388187,0.034120840468181,0.529625335972677,0.026
"Ecol Evol",63,126,32.5396825396825,-0.0484935437589671,-0.281100478468899,0.178260869565217,0,-0.24050901378579,0.245164248763202,0.802
"Ecosal Plus",52,104,32.6923076923077,0.213445378151261,-0.0752233845483273,0.47563025210084,0.26218487394958,-0.0219068828245627,0.525317118717405,0.219
"Elife",93,186,28.494623655914,-0.134629025393673,-0.309936205468103,0.0391919478693488,-0.105546886083132,-0.286545780080892,0.0835483702473597,0.21
"Environ Monit Assess",56,112,42.8571428571429,0.0520833333333334,-0.215836526181354,0.310748299319728,0.0729166666666666,-0.198720583069898,0.315029021558872,0.798
"Environ Sci Pollut Res Int",98,196,42.3469387755102,-0.0239897643672033,-0.229146424721524,0.175084175084175,0,-0.201681513919845,0.203377848103113,0.845
"Environ Sci Technol",75,150,28,-0.124338624338624,-0.322751322751323,0.0937569926157977,-0.132275132275132,-0.330687830687831,0.0757101086048454,0.389
"Eur Heart J",89,178,15.7303370786517,0.0676190476190477,-0.14107448630137,0.310459324847814,0.0847619047619047,-0.125836594911938,0.310474345919107,0.692
"Eur Respir J",59,118,24.5762711864407,0.0399070127857419,-0.234405269275475,0.313953488372093,0.0914374273537388,-0.183002117933574,0.365749709414955,1
"Eur Urol",84,168,16.0714285714286,-0.191489361702128,-0.263157894736842,-0.12751677852349,-0.176516942474389,-0.248424709958865,-0.112544359295752,0.114
"Evolution",54,108,25,-0.234567901234568,-0.421052631578947,-0.0367982147051916,-0.197530864197531,-0.365560365560366,0.00955289327382336,0.136
"Expert Opin Pharmacother",54,108,33.3333333333333,0,-0.27447447144794,0.276190476190476,0,-0.287758346581876,0.258265734265734,1
"F1000Res",146,292,32.8767123287671,0.0688775510204082,-0.0961075303161626,0.235479561848784,0.0931122448979592,-0.0699482548095083,0.25327759816798,0.431
"FEBS Lett",51,102,34.3137254901961,0.0865671641791045,-0.174413646055437,0.347547974413646,0.0869936034115139,-0.20423206588614,0.347974413646055,0.766
"Food Chem",85,170,44.7058823529412,0.190929451287794,-0.0365853658536586,0.388200754027447,0.19036954087346,-0.026610994005665,0.409923730637454,0.084
"Front Hum Neurosci",77,154,41.5584415584416,0.251388888888889,0.0383586083853702,0.476234866828087,0.267361111111111,0.0462951832907076,0.46987293144208,0.047
"Front Immunol",71,142,47.1830985915493,-0.102089552238806,-0.352380952380952,0.125627047043993,-0.113034825870647,-0.352157985073507,0.115121829802743,0.479
"Front Microbiol",110,220,42.7272727272727,0.0341100979398851,-0.153301988506875,0.207186963238807,0.0371496116176966,-0.142516808125643,0.216013410928813,0.843
"Front Neurosci",85,170,35.2941176470588,0.278787878787879,0.0588578088578089,0.489344861660079,0.309090909090909,0.0895915678524374,0.506904015524705,0.01
"Front Plant Sci",93,186,40.3225806451613,-0.00540540540540546,-0.228828828828829,0.200975269940787,0,-0.200728718779156,0.191381026178928,1
"Front Psychol",366,732,45.3551912568306,0.129096385542169,0.0274726951962601,0.234876422418567,0.132289156626506,0.0311356858035679,0.228500048657365,0.022
"Future Oncol",69,138,36.231884057971,-0.00363636363636366,-0.239693157854518,0.202085639526567,0,-0.236056794218154,0.236969696969697,1
"Gastroenterology",111,222,16.6666666666667,0.124324324324324,-0.0873163317007262,0.328886347172927,0.12972972972973,-0.0899893314366998,0.348168563300142,0.309
"Gastrointest Endosc",77,154,14.9350649350649,0.0288748755393295,-0.17557251908397,0.277793103448276,0,-0.21230685851537,0.228751872712419,1
"Genome Announc",56,112,31.25,-0.205194805194805,-0.423823013018261,-0.00134727061556352,-0.166233766233766,-0.384861974057223,0.0764768196206062,0.217
"Handb Clin Neurol",53,106,36.7924528301887,-0.095292766934558,-0.365260453370919,0.163968451639684,-0.0811327975507081,-0.337388300197207,0.148146897488425,0.6
"Heart",51,102,25.4901960784314,0.174089068825911,-0.139329805996473,0.455128205128205,0.206477732793522,-0.103238866396761,0.492706124285072,0.258
"Hepatology",78,156,26.9230769230769,-0.238095238095238,-0.398610244805171,-0.0598202648007134,-0.195488721804511,-0.355829493627259,-0.0172173830803423,0.048
"IEEE Trans Pattern Anal Mach Intell",73,146,7.53424657534247,-0.0814814814814815,-0.131782945736434,-0.0354609929078015,0,-0.0503014642549526,0.0386243386243386,1
"IEEE Trans Vis Comput Graph",57,114,12.280701754386,0.185714285714286,-0.128712871287129,0.514923035237346,0.162857142857143,-0.162857142857143,0.474053713277014,0.172
"Immunity",52,104,36.5384615384615,-0.244019138755981,-0.507246376811594,0.00483868288144601,-0.248803827751196,-0.494525300687047,0,0.129
"Indian Pediatr",52,104,45.1923076923077,0.107129525942516,-0.167634533488192,0.370853943742126,0.0776409107876073,-0.198903907508732,0.331494487763678,0.564
"Insects",55,110,35.4545454545455,-0.152040447815096,-0.390393643914771,0.110390619748605,-0.158902130733117,-0.398314674371013,0.0840474079910699,0.361
"Int J Cardiol",91,182,23.6263736263736,0.0560481847080476,-0.157392686804452,0.264303482587065,0.0609001171156099,-0.13733920978358,0.281581574162779,0.763
"Int J Environ Res Public Health",68,136,46.3235294117647,0.142422265709937,-0.0942481102029852,0.352394957983193,0.118286584040009,-0.141612919067219,0.354859752120026,0.32
"Int J Mol Sci",99,198,41.9191919191919,0.0665269774751178,-0.116271155364211,0.266718898385565,0.0829753797799895,-0.117416411234358,0.276415179713509,0.53
"Int Sch Res Notices",57,114,22.8070175438597,0.103146853146853,-0.176246388443018,0.398834887662827,0.0996503496503498,-0.164607614607615,0.374308226642975,0.48
"Intensive Care Med",54,108,17.5925925925926,-0.0857480780603193,-0.270588235294118,0.160724532930328,-0.127735068007096,-0.312575225240895,0.127735068007096,0.671
"J Acoust Soc Am",137,274,22.2627737226277,0.177557146155622,-0.0152676184547899,0.370540540540541,0.168706226429616,-0.0189764243775771,0.350985925300307,0.049
"J Am Chem Soc",104,208,22.1153846153846,0.0509930220075148,-0.142118863049096,0.235082548108157,0.0558239398819109,-0.148162430240903,0.255392441947129,0.77
"J Am Coll Cardiol",144,288,13.8888888888889,0.0129032258064515,-0.142857142857143,0.186904974408481,0,-0.146761493522987,0.19431082260361,1
"J Autism Dev Disord",53,106,58.4905660377358,0.222873900293255,-0.0442528692237994,0.46231884057971,0.233137829912023,-0.0467916259367872,0.472582770198478,0.145
"J Biol Chem",83,166,33.7349397590361,-0.024025974025974,-0.235940810009061,0.191674306032922,0,-0.211930229005906,0.220591157476403,1
"J Chem Phys",295,590,12.5423728813559,0.0729101194217473,-0.0481083157288266,0.222729142717667,0.0618059920385502,-0.0710945555491948,0.199458668241983,0.304
"J Chem Theory Comput",695,1390,16.0431654676259,-0.041534577564642,-0.105218861274312,0.0266334317963033,-0.0427296236949597,-0.105032318127896,0.026788631479267,0.307
"J Chromatogr",76,152,28.2894736842105,0.124386601237465,-0.132611654262729,0.344827586206897,0.129720503520375,-0.0866739760759642,0.340891841101152,0.375
"J Clin Diagn Res",100,200,40,0.0416666666666666,-0.161508958382581,0.237977551230563,0.0416666666666667,-0.166251065643649,0.232562858406638,0.849
"J Clin Nurs",54,108,83.3333333333333,0.2,-0.136842105263158,0.552927261975163,0.266666666666667,-0.0822695035460993,0.577978883861237,0.328
"J Clin Oncol",113,226,31.4159292035398,0.116946842344389,-0.0891750102260895,0.296336996336996,0.123216719672876,-0.0829051328976025,0.292595546151708,0.279
"J Craniofac Surg",71,142,17.6056338028169,-0.116581196581197,-0.267857142857143,0.0690713184811544,-0.0970940170940172,-0.237149988654414,0.109508540488095,0.446
"J Emerg Med",58,116,25.8620689655172,0.10077519379845,-0.168992248062016,0.355555555555556,0.0899224806201551,-0.200596302921884,0.349548289327971,0.498
"J Exp Biol",60,120,30.8333333333333,-0.0550309345490069,-0.291866028708134,0.2,0,-0.241665576719903,0.255087914605987,0.792
"J Neurophysiol",73,146,23.972602739726,-0.0146718146718146,-0.24165576487005,0.21741462395827,0,-0.212451307304249,0.236551197561015,1
"J Neurosci",88,176,31.25,-0.031404958677686,-0.245127575286879,0.161904761904762,0,-0.224178167873183,0.193309720582448,0.802
"J Opt Soc Am A Opt Image Sci Vis",62,124,14.5161290322581,-0.169811320754717,-0.252525252525252,-0.0973451327433629,-0.129979035639413,-0.212692967409948,-0.0670656289175661,0.329
"J Org Chem",94,188,19.6808510638298,-0.177734025416145,-0.287671232876712,-0.029116190329378,-0.134598174333274,-0.253434909198418,0.011912222390888,0.11
"J Pediatr",80,160,36.25,0.0804597701149425,-0.158657011191573,0.294800722762374,0.0540906017579446,-0.183198089463364,0.274071023030562,0.625
"J Phycol",102,204,39.2156862745098,-0.192741935483871,-0.382877013384755,-0.012253164556962,-0.205645161290323,-0.411290322580645,-0.00388345475343988,0.064
"J Phys Chem",278,556,23.7410071942446,0.125786163522012,-0.00108641345853131,0.243984876826783,0.139079473985134,0.00513144190310532,0.264346905917623,0.046
"J Phys Chem Lett",96,192,15.1041666666667,0.147027713137296,-0.0973004926108375,0.383957219251337,0.162470911783372,-0.0716648152912064,0.406408927438121,0.207
"J Phys Condens Matter",68,136,19.1176470588235,0.0489510489510488,-0.183370931356752,0.306829765545362,0.0951048951048952,-0.146828609986505,0.340332345139647,0.683
"J Physiol (Lond)",84,168,19.047619047619,-0.0808823529411765,-0.235762273901809,0.142857142857143,-0.0772058823529412,-0.240767973856209,0.118689640035119,0.535
"J Theor Biol",66,132,20.4545454545455,0.0222222222222224,-0.222222222222222,0.283389595679998,0,-0.230065359477124,0.226522337536733,1
"J Thorac Cardiovasc Surg",110,220,12.2727272727273,0.0289771636921896,-0.139896373056995,0.245495189175132,0,-0.168873536749184,0.216373982724131,1
"J Thorac Dis",84,168,19.047619047619,-0.00367647058823528,-0.21312151846503,0.208136938724882,0,-0.204956622936944,0.211813409313118,1
"J Vis",303,606,31.3531353135314,-0.0427125506072874,-0.157234664144381,0.0599489400139766,-0.0460020242914979,-0.154125983123121,0.0616109192662104,0.497
"J Vis Exp",83,166,40.9638554216867,0.103241296518607,-0.126238829225888,0.291005275178497,0.0996398559423769,-0.125388786432725,0.304731892757103,0.379
"JACC Cardiovasc Interv",79,158,10.126582278481,0.0264084507042254,-0.136690647482014,0.25287174194459,0,-0.16309909818624,0.252130362081163,1
"JAMA",224,448,25.4464285714286,0.0351927723500368,-0.0935612764444774,0.166571914480078,0.0470637672024371,-0.095229154620288,0.189300256326751,0.74
"JAMA Intern Med",113,226,36.283185840708,-0.0335365853658537,-0.212608987256874,0.135368335368335,-0.0382791327913279,-0.217011795095402,0.13185368527541,0.824
"JAMA Oncol",67,134,38.0597014925373,0.0819749586581621,-0.147019494811865,0.306418219461698,0.0633120718166784,-0.173566217845444,0.305724906737486,0.599
"JAMA Pediatr",55,110,41.8181818181818,0.476902173913043,0.227142432285033,0.706666666666667,0.448369565217391,0.185753105590062,0.668437088274045,0.002
"JAMA Surg",56,112,26.7857142857143,0.271544715447155,-0.0183481877599525,0.536551724137931,0.273170731707317,-0.0120638233120299,0.525435540069686,0.084
"Kidney Int",66,132,28.7878787878788,-0.108622620380739,-0.320174603174603,0.114676954638628,-0.0739081746920494,-0.292353756732256,0.150556392223401,0.529
"Lakartidningen",101,202,33.1683168316832,0.0843559977888336,-0.12258908139915,0.285010361931783,0.0893311221669429,-0.117679800396044,0.270449289102274,0.466
"Lancet",253,506,29.6442687747036,-0.11812734082397,-0.224846505224135,-0.00809545986800083,-0.113707865168539,-0.227848408667248,0.00926313370924776,0.067
"Lancet HIV",52,104,39.4230769230769,0.0739450251645373,-0.214312617702448,0.320261437908497,0.0805265195509097,-0.210038110292934,0.352595645329769,0.783
"Lancet Infect Dis",66,132,27.2727272727273,0.159722222222222,-0.0909090909090911,0.408734602463606,0.152777777777778,-0.0978535353535354,0.401912791128462,0.214
"Lancet Oncol",57,114,26.3157894736842,0.0952380952380952,-0.196268946754761,0.366666666666667,0.0904761904761905,-0.180952380952381,0.345716990438006,0.499
"Lancet Psychiatry",77,154,38.3116883116883,-0.181445138269402,-0.385053727500698,0.0462610690828052,-0.164852809991079,-0.373735894992117,0.0417324982909835,0.15
"Langmuir",80,160,23.125,0.050758075148319,-0.162227602905569,0.266666666666667,0.0703142166556799,-0.140733931010768,0.272803286519212,0.76
"MMW Fortschr Med",65,130,31.5384615384615,-0.0331597697999453,-0.264350352164997,0.205555555555555,0,-0.234083092257158,0.233975305517039,1
"Med J Aust",69,138,49.2753623188406,-0.0436974789915966,-0.282094594594595,0.186902852049911,-0.0579831932773109,-0.292063492063492,0.173949579831933,0.815
"Med Sci Sports Exerc",213,426,40.8450704225352,0.16447728516694,0.0367755738091827,0.29017521949672,0.17487684729064,0.0428491337353847,0.302420051594389,0.021
"Methods Mol Biol",700,1400,37.9285714285714,0.0746339169424344,-0.00723039058956113,0.147471439090408,0.0728156917815789,0.000835812186547564,0.143107854806778,0.047
"Mol Cell Oncol",102,204,33.3333333333333,-0.0588235294117646,-0.263086795001689,0.130179900842979,-0.0441176470588234,-0.230243612596554,0.144849221963543,0.646
"Mol Inform",64,128,19.53125,-0.242718446601942,-0.347368421052632,-0.163636363636364,-0.198834951456311,-0.303484925907,-0.119752868490733,0.1
"Molecules",55,110,40,0.0151515151515151,-0.262692498651868,0.28552380952381,0,-0.285531949934124,0.246304881415679,1
"Multivariate Behav Res",113,226,21.6814159292035,-0.120488873515508,-0.269688416587699,0.0404595404595406,-0.104231523117722,-0.253405570950529,0.0760457730769731,0.302
"N Engl J Med",317,634,21.608832807571,0.0595544067323651,-0.0479462624440396,0.176238036591644,0.0558680550456021,-0.0536198902338898,0.166339398892265,0.294
"Nat Commun",68,136,19.1176470588235,0.144055944055944,-0.127207207207207,0.399252463472647,0.19020979020979,-0.0669413919413918,0.474038461538462,0.236
"Nature",206,412,26.6990291262136,-0.0417820590006019,-0.169823253536494,0.0764767932489452,-0.0248043347381095,-0.151094638848232,0.102438323596566,0.597
"Neural Regen Res",93,186,39.247311827957,0.0304279306582617,-0.166696397332491,0.224389948613092,0.0450963753182204,-0.163845913168575,0.240576215521993,0.797
"Neuroimage",65,130,29.2307692307692,-0.0411899313501144,-0.264350352164997,0.181173149402146,0,-0.233392123694126,0.221801268279555,0.786
"Neurology",158,316,22.1518987341772,0.00905923344947746,-0.150482582480662,0.172586520947177,0,-0.153551086062397,0.153699183440054,1
"Neuron",73,146,24.6575342465753,-0.0323232323232323,-0.252805280528053,0.19968738052759,0,-0.207312704152327,0.231884635832004,1
"Neuropsychologia",54,108,51.8518518518519,0.184065934065934,-0.074442538593482,0.439640262884815,0.18543956043956,-0.103388278388278,0.444098084577961,0.268
"Nippon Rinsho",144,288,9.72222222222222,-0.107692307692308,-0.152,-0.0706319702602231,-0.0791208791208792,-0.123428571428572,-0.0420605416887946,0.356
"Nucleic Acids Res",62,124,27.4193548387097,-0.215686274509804,-0.409090909090909,0.0107526881720431,-0.162091503267974,-0.348786181139123,0.0427252060244386,0.119
"Nurs Stand",64,128,75,0.166666666666667,-0.121401752190238,0.41823754789272,0.166666666666667,-0.108329965520882,0.42975942975943,0.198
"Nurse Educ Today",53,106,81.1320754716981,0.013953488372093,-0.232558139534884,0.294615849969752,0,-0.246511627906977,0.280662361597659,1
"Oncotarget",82,164,29.2682926829268,0.116379310344828,-0.120460076185279,0.316666666666667,0.117816091954023,-0.117816091954023,0.329266770466519,0.415
"Opt Express",90,180,10.5555555555556,-0.118012422360249,-0.176470588235294,-0.0714285714285715,-0.117685518143184,-0.17614368401823,-0.0647618531793853,0.384
"Opt Lett",74,148,6.08108108108108,-0.0647482014388489,-0.112781954887218,-0.0277777777777778,0,-0.0480337534483692,0.0369704236610711,1
"Org Biomol Chem",54,108,15.7407407407407,-0.0471881060116354,-0.241379310344828,0.219277108433735,0,-0.180084621261092,0.227036130327744,1
"Org Lett",82,164,14.0243902439024,-0.0619796484736355,-0.205882352941177,0.138655462184874,-0.101140918902251,-0.236241562399418,0.120889945960629,0.7
"PET Clin",75,150,16.6666666666667,-0.2,-0.282051282051282,-0.12781954887218,-0.192,-0.274051282051282,-0.119819548872181,0.1
"PLoS Comput Biol",77,154,24.025974025974,0.324093324093324,0.0568058433485289,0.541666666666667,0.355740355740356,0.102719677857365,0.578705855176443,0.005
"PLoS ONE",993,1986,35.0956696878147,0.179898779319103,0.117634490057395,0.239364975412226,0.181262264409255,0.116176599846658,0.245060909124408,0
"Pan Afr Med",213,426,40.3755868544601,0.200421168284197,0.0672750942899682,0.325825847021971,0.195019227247757,0.0640800875024154,0.33175199968335,0.002
"Pediatr Crit Care Med",84,168,30.952380952381,0.220159151193634,-0.0201420760440315,0.421218422848708,0.222811671087533,0.00239895896108017,0.425505395173959,0.073
"Pediatrics",71,142,46.4788732394366,0.207336523125997,-0.0390243902439024,0.422880605822187,0.226475279106858,-0.0195237309574878,0.423393844176248,0.104
"PeerJ",106,212,31.1320754716981,-0.012038190120382,-0.193273789075919,0.172855621540199,0,-0.188237805458301,0.176414455167788,1
"Philos Trans R Soc Lond B Biol Sci",77,154,29.2207792207792,0.0895005096839959,-0.145524322169059,0.295729875963111,0.125586136595311,-0.109438695257744,0.347650252761655,0.575
"Phys Chem Chem Phys",235,470,22.3404255319149,0.00665362035225048,-0.110840175631736,0.140887058543629,0,-0.122635355512068,0.119545531875012,1
"Phys Rev",78,156,14.7435897435897,0.235044132069304,-0.0455026455026454,0.507327636833451,0.203988231448186,-0.0996101779165006,0.476271736212333,0.053
