"Discipline","Journal","Author position","Age","Standardised IF","n useable papers","n authors","Gender ratio of sample","Observed alpha","Lower 95 CI","Upper 95 CI","Alpha adjusted","Lower 95 CI","Upper 95 CI","Unadjusted p value","Adjusted p value"
"Medicine","JAMA","All authors","New",1.271,542,1788,33.221,0.112,0.075,0.14,0.112,0.075,0.138,0,0
"Biomedical Engineering","Opt Express","All authors","New",0.039,540,2273,11.527,0.03,0.018,0.072,0.031,0.021,0.072,0.086,0.156
"Medicine","Adv Exp Med Biol","All authors","New",-0.014,533,1931,36.199,0.073,0.042,0.113,0.075,0.044,0.115,0.002,0.008
"Chemistry","Dalton Trans","All authors","New",0.049,531,2545,26.562,0.052,0.03,0.079,0.052,0.031,0.082,0,0
"Medicine","BMJ","All authors","New",0.99,524,1767,36.842,0.105,0.107,0.193,0.104,0.112,0.186,0,0
"Biochemistry","ACS Appl Mater Interfaces","All authors","New",0.361,509,2570,28.288,0.077,0.05,0.105,0.078,0.048,0.103,0,0
"Environmental Health","Environ Sci Technol","All authors","New",0.328,506,2443,33.442,0.041,0.014,0.062,0.042,0.013,0.064,0.011,0.031
"Botany","J Phycol","All authors","New",-0.189,500,1929,40.695,-0.006,-0.03,0.033,-0.005,-0.028,0.036,0.759,0.826
"Multidisciplinary","PeerJ","All authors","New",NA,500,2031,35.303,0.027,-0.002,0.057,0.028,-0.001,0.061,0.143,0.232
"Multidisciplinary","Springerplus","All authors","New",NA,498,2102,35.823,0.194,0.156,0.24,0.196,0.157,0.241,0,0
"Medicine","Cochrane Database Syst Rev","All authors","New",NA,494,2209,49.525,0.096,0.056,0.118,0.097,0.058,0.12,0,0
"Chemistry","Langmuir","All authors","New",0.03,485,2207,29.316,0.066,0.045,0.11,0.066,0.045,0.11,0,0
"Chemistry","Inorg Chem","All authors","New",0.111,480,2541,27.391,0.071,0.048,0.112,0.073,0.048,0.112,0,0
"Genetics","Genome Announc","All authors","New",NA,477,2506,37.39,-0.013,-0.031,0.011,-0.013,-0.031,0.011,0.353,0.463
"Chemistry Techniques, Analytical","Anal Chem","All authors","New",0.439,474,2155,29.838,0.078,0.037,0.096,0.079,0.037,0.094,0,0
"Biomedical Engineering","Sensors (Basel)","All authors","New",-0.151,471,2034,19.961,0.073,0.027,0.098,0.074,0.029,0.102,0,0
"Multidisciplinary","Nature","All authors","New",1.251,470,1993,27.245,0.045,0.03,0.084,0.047,0.033,0.085,0.016,0.043
"Biology","Molecules","All authors","New",0.036,466,2331,45.431,0.097,0.055,0.113,0.097,0.056,0.113,0,0
"Medical Informatics","Stud Health Technol Inform","All authors","New",NA,458,1703,46.154,0.161,0.087,0.175,0.162,0.093,0.176,0,0
"Neurology","Neurology","All authors","New",0.487,451,2147,33.628,0.102,0.077,0.139,0.104,0.077,0.137,0,0
"Biochemistry","Nucleic Acids Res","All authors","New",0.471,447,2387,33.724,0.032,0.018,0.064,0.033,0.017,0.063,0.038,0.083
"Neurology","J Neurosci","All authors","New",0.348,446,2087,37.278,0.043,0.012,0.071,0.044,0.014,0.072,0.012,0.034
"Biology","Elife","All authors","New",0.563,442,2473,34.654,0.038,0.013,0.059,0.039,0.013,0.06,0.006,0.019
"Chemistry","J Phys Chem Lett","All authors","New",0.36,442,1830,19.945,0.067,0.02,0.103,0.068,0.024,0.107,0.004,0.014
"Psychiatry","Psychiatry Res","All authors","New",-0.055,436,2399,45.477,0.056,0.038,0.097,0.056,0.038,0.097,0,0
"General Surgery","Ann Thorac Surg","All authors","New",0.287,433,2312,18.166,0.042,0.009,0.068,0.042,0.011,0.071,0.005,0.017
"General Surgery","Plast Reconstr Surg","All authors","New",0.303,432,1796,24.833,0.035,0.011,0.101,0.036,0.01,0.1,0.079,0.147
"Biochemistry","Org Lett","All authors","New",0.335,430,1702,24.324,0.031,0,0.062,0.031,0.002,0.063,0.148,0.238
"Medicine","J Matern Fetal Neonatal Med","All authors","New",NA,421,2345,46.738,0.067,0.043,0.097,0.068,0.042,0.099,0,0
"Multidisciplinary","Science","All authors","New",1.209,421,1784,30.493,0.073,0.025,0.094,0.074,0.029,0.093,0,0
"Biology","Chemosphere","All authors","New",0.212,420,1944,42.747,0.044,0.02,0.088,0.045,0.023,0.093,0.01,0.029
"Medicine","Pan Afr Med","All authors","New",NA,418,1520,34.539,0.248,0.205,0.309,0.248,0.203,0.309,0,0
"Biophysics","Phys Rev E Stat Nonlin Soft Matter Phys","All authors","New",-0.043,418,1221,12.203,0.05,-0.013,0.085,0.052,-0.01,0.087,0.115,0.195
"Allergy and Immunology","Vaccine","All authors","New",0.03,416,2154,47.261,0.09,0.069,0.131,0.09,0.069,0.134,0,0
"Chemistry","J Org Chem","All authors","New",0.108,413,1671,26.81,0.028,-0.002,0.059,0.028,-0.004,0.061,0.185,0.284
"Cardiology","J Am Coll Cardiol","All authors","New",0.883,398,1834,19.029,0.075,0.058,0.106,0.076,0.058,0.105,0,0
"Neurology","Neuroimage","All authors","New",0.313,391,1927,31.759,0.058,0.037,0.094,0.059,0.037,0.095,0,0
"Chemistry Techniques, Analytical","J Chromatogr","All authors","New",0.092,385,1633,36.007,0.102,0.045,0.119,0.103,0.048,0.119,0,0
"Biophysics","J Acoust Soc Am","All authors","New",-0.2,382,1228,25.244,0.168,0.1,0.22,0.169,0.103,0.218,0,0
"Public Health","Int J Environ Res Public Health","All authors","New",0.01,379,1711,50.088,0.103,0.073,0.141,0.104,0.068,0.141,0,0
"Orthopedics","Spine","All authors","New",0.127,375,1874,17.022,0.153,0.117,0.231,0.154,0.116,0.232,0,0
"Genetics","BMC Genomics","All authors","New",0.106,374,2144,36.987,0.059,0.021,0.077,0.06,0.02,0.077,0.001,0.004
"Multidisciplinary","J Vis Exp","All authors","New",-0.284,370,1459,38.931,0.076,0.038,0.126,0.077,0.038,0.127,0.001,0.004
"Pediatrics","Pediatrics","All authors","New",0.533,370,1991,55.098,0.106,0.069,0.13,0.106,0.065,0.131,0,0
"Medicine","Am J Emerg Med","All authors","New",-0.128,365,1628,24.263,0.12,0.075,0.161,0.121,0.075,0.161,0,0
"Pediatrics","J Pediatr","All authors","New",0.132,364,1802,48.169,0.094,0.057,0.121,0.096,0.061,0.126,0,0
"Medicine","Medicine (Baltimore)","All authors","New",-0.223,364,2465,36.227,0.079,0.05,0.099,0.08,0.05,0.099,0,0
"Neurology","World Neurosurg","All authors","New",0.004,362,1719,15.881,0.02,-0.016,0.046,0.02,-0.018,0.046,0.301,0.41
"Unclassified","Rev Bras Ortop","All authors","New",NA,361,1904,10.557,0.118,0.054,0.159,0.12,0.059,0.161,0,0
"Immunology","J Immunol","All authors","New",0.19,358,2330,44.506,0.004,-0.02,0.024,0.006,-0.018,0.026,0.74,0.81
"General Surgery","J Craniofac Surg","All authors","New",-0.341,357,1574,25.222,0.057,0.018,0.102,0.058,0.022,0.1,0.004,0.014
"Anti-Infective Agents","Antimicrob Agents Chemother","All authors","New",0.2,353,2150,41.163,0.071,0.031,0.084,0.071,0.033,0.088,0,0
"Psychiatry","J Affect Disord","All authors","New",0.106,352,1942,45.366,0.062,0.027,0.096,0.063,0.03,0.093,0,0
"Chemistry Techniques, Analytical","Anal Bioanal Chem","All authors","New",0.164,345,1643,40.657,0.035,0.002,0.066,0.035,0.001,0.069,0.055,0.11
"Neurology","Front Hum Neurosci","All authors","New",NA,342,1421,39.409,0.087,0.027,0.105,0.088,0.029,0.109,0,0
"Computational Biology","PLoS Comput Biol","All authors","New",0.329,330,1306,23.277,0.054,-0.002,0.072,0.055,0,0.074,0.022,0.055
"Neurology","J Alzheimers Dis","All authors","New",0.169,328,2163,44.244,0.066,0.025,0.072,0.066,0.024,0.07,0,0
"Biology","Curr Biol","All authors","New",0.597,324,1294,31.685,0.041,0.021,0.088,0.044,0.027,0.087,0.099,0.173
"Chemistry","Soft Matter","All authors","New",0.008,324,1197,23.141,0.006,-0.029,0.048,0.01,-0.023,0.054,0.805,0.863
"Bioinformatics","Bioinformatics","All authors","New",0.472,321,1258,20.747,0.09,0.042,0.128,0.093,0.042,0.131,0,0
"Virology","J Virol","All authors","New",0.259,321,1858,41.981,0.016,-0.002,0.043,0.017,-0.002,0.045,0.335,0.444
"Communicable Diseases","Clin Infect Dis","All authors","New",0.493,320,1686,39.976,0.072,0.007,0.053,0.072,0.009,0.057,0.001,0.004
"Cardiology","Circulation","All authors","New",0.865,319,1499,26.751,0.106,0.061,0.113,0.106,0.06,0.114,0,0
"Chemistry","J Agric Food Chem","All authors","New",-0.116,319,1657,44.659,0.029,0.007,0.085,0.031,0.006,0.087,0.11,0.188
"Chemistry Techniques, Analytical","Acta Crystallogr E Crystallogr Commun","All authors","New",NA,318,1231,21.608,0.043,-0.012,0.064,0.043,-0.012,0.067,0.068,0.13
"Multidisciplinary","BMC Res Notes","All authors","New",NA,318,1536,42.839,0.124,0.07,0.152,0.127,0.072,0.153,0,0
"Ophthalmology","Opt Lett","All authors","New",0.182,316,1280,10.469,0.005,-0.022,0.04,0.006,-0.023,0.041,0.837,0.889
"Gastroenterology","World J Gastroenterol","All authors","New",-0.005,316,1434,33.124,0.082,0.046,0.119,0.083,0.046,0.12,0,0
"Urology","Urology","All authors","New",0.084,315,1488,22.849,0.09,0.037,0.128,0.093,0.04,0.13,0,0
"Neoplasms","J Clin Oncol","All authors","New",0.817,313,1562,37.196,0.092,0.046,0.102,0.093,0.047,0.101,0,0
"Biology","Ecol Evol","All authors","New",NA,310,1310,37.023,0.044,0.014,0.09,0.046,0.019,0.092,0.053,0.107
"Ophthalmology","Appl Opt","All authors","New",-0.097,308,1124,12.367,0.024,-0.018,0.069,0.026,-0.022,0.076,0.404,0.511
"Neoplasms","Asian Pac J Cancer Prev","All authors","New",NA,307,1413,41.26,0.123,0.076,0.17,0.125,0.077,0.17,0,0
"Pharmacology","Int J Pharm","All authors","New",0.16,307,1524,46.588,0.126,0.087,0.177,0.127,0.088,0.175,0,0
"Multidisciplinary","Data Brief","All authors","New",NA,306,1449,38.578,0.081,0.034,0.111,0.081,0.036,0.113,0,0
"Biology","Proc Roy Soc B","All authors","New",NA,306,1240,31.774,0.067,0.008,0.09,0.067,0.005,0.09,0.007,0.022
"Neurology","Front Neurosci","All authors","New",NA,305,1272,37.579,0.113,0.047,0.123,0.114,0.053,0.123,0,0
"Chemistry Techniques, Analytical","Talanta","All authors","New",0.275,304,1290,44.651,0.109,0.052,0.139,0.11,0.055,0.142,0,0
"Medicine","Med Clin (Barc)","All authors","New",-0.202,302,1170,42.393,0.018,-0.002,0.091,0.018,-0.001,0.09,0.457,0.561
"Nutritional Sciences","Nutr Hosp","All authors","New",-0.203,302,1583,51.042,0.147,0.101,0.181,0.148,0.099,0.18,0,0
"Multidisciplinary","F1000Res","All authors","New",NA,300,1007,31.778,0.082,0.054,0.153,0.082,0.051,0.158,0.015,0.041
"Unclassified","Radiol Case Rep","All authors","New",NA,299,967,28.749,-0.01,-0.069,0.057,-0.008,-0.062,0.06,0.736,0.807
"Health Services Research","BMC Health Serv Res","All authors","New",-0.047,293,1433,54.292,0.121,0.066,0.147,0.122,0.067,0.146,0,0
"General Surgery","J Thorac Cardiovasc Surg","All authors","New",0.357,293,1186,16.948,0.039,0.01,0.078,0.04,0.008,0.078,0.138,0.225
"Biochemistry","Carbohydr Polym","All authors","New",0.132,291,1301,45.196,0.075,0.033,0.105,0.074,0.031,0.108,0,0
"Biochemistry","Org Biomol Chem","All authors","New",0.058,291,1300,29.846,0.073,0.032,0.129,0.074,0.029,0.132,0,0
"Chemistry","Bioresour Technol","All authors","New",0.12,287,1215,35.062,0.008,-0.02,0.058,0.01,-0.018,0.061,0.727,0.8
"Neoplasms","Anticancer Res","All authors","New",-0.228,285,1790,32.57,0.05,0.028,0.084,0.05,0.029,0.088,0.001,0.004
"Nanotechnology","Nanoscale","All authors","New",0.276,285,1526,26.999,0.088,0.042,0.108,0.09,0.046,0.111,0,0
"Tropical Medicine","PLoS Negl Trop Dis","All authors","New",0.339,284,1946,41.007,0.008,-0.014,0.031,0.009,-0.011,0.033,0.577,0.67
"Medicine","Crit Care Med","All authors","New",0.566,282,1327,28.862,0.039,0.026,0.087,0.039,0.028,0.088,0.074,0.14
"Gynecology","Am J Obstet Gynecol","All authors","New",0.376,281,1334,51.499,0.096,0.064,0.145,0.098,0.065,0.143,0,0
"Medicine","JAMA Intern Med","All authors","New",0.841,281,967,37.435,0.082,0.039,0.145,0.086,0.043,0.148,0.007,0.022
"Social Sciences","Soc Sci Med","All authors","New",0.063,281,1036,57.819,0.057,0.017,0.108,0.06,0.016,0.113,0.04,0.086
"Hematology","Blood","All authors","New",0.658,280,1805,39.834,0.029,0.022,0.059,0.029,0.022,0.061,0.072,0.136
"Gastroenterology","Gastroenterology","All authors","New",0.809,280,1010,24.95,0.076,0.042,0.11,0.079,0.041,0.115,0.005,0.017
"Neoplasms","BMC Cancer","All authors","New",0.009,279,2093,43.478,0.083,0.042,0.097,0.083,0.04,0.097,0,0
"Biophysics","Biochem Biophys Res Commun","All authors","New",-0.021,279,1328,36.672,0.057,0.031,0.113,0.058,0.033,0.111,0.003,0.011
"Brain","Behav Brain Res","All authors","New",0.009,278,1315,47.757,0.076,0.025,0.105,0.077,0.027,0.105,0,0
"Microbiology","Appl Environ Microbiol","All authors","New",0.131,277,1451,39.559,0.021,-0.008,0.054,0.021,-0.008,0.056,0.255,0.361
"Immunology","Front Immunol","All authors","New",NA,277,1134,49.471,0.002,-0.014,0.062,0.002,-0.014,0.065,0.943,0.963
"Physiology","J Strength Cond Res","All authors","New",-0.1,277,1285,21.634,0.095,0.064,0.153,0.097,0.067,0.156,0,0
"Nutritional Sciences","Nutrients","All authors","New",0.196,277,1418,56.065,0.111,0.066,0.142,0.112,0.065,0.143,0,0
"Pharmacology","Curr Pharm Des","All authors","New",NA,276,1083,37.858,0.181,0.105,0.215,0.182,0.105,0.219,0,0
"Orthopedics","J Arthroplasty","All authors","New",NA,275,1317,15.338,0.044,0.004,0.082,0.046,0.007,0.087,0.033,0.075
"Biotechnology","Appl Microbiol Biotechnol","All authors","New",0.092,274,1271,43.509,0.085,0.047,0.131,0.085,0.048,0.129,0,0
"Cardiology","Eur Heart J","All authors","New",NA,272,1364,17.522,0.073,0.032,0.126,0.074,0.034,0.122,0,0
"Otolaryngology","Laryngoscope","All authors","New",0.157,270,1226,30.179,0.085,0.029,0.114,0.087,0.029,0.117,0,0
"Toxicology","Mar Pollut Bull","All authors","New",0.104,263,1169,39.435,0.094,0.047,0.14,0.093,0.048,0.137,0,0
"Medicine","Trials","All authors","New",-0.035,262,1902,46.845,0.102,0.06,0.118,0.103,0.059,0.116,0,0
"Medicine","Am J Respir Crit Care Med","All authors","New",0.813,260,1189,33.221,0.024,-0.008,0.046,0.025,-0.006,0.049,0.339,0.449
"Biochemistry","Biochemistry","All authors","New",-0.034,258,1134,31.393,0.01,-0.018,0.061,0.013,-0.015,0.064,0.689,0.767
"Toxicology","Water Res","All authors","New",0.39,258,1154,32.496,0.049,0.001,0.086,0.051,0.001,0.087,0.039,0.085
"Urology","Eur Urol","All authors","New",0.919,255,1207,19.304,0.049,0.045,0.1,0.051,0.047,0.099,0.032,0.074
"Biomedical Engineering","Mater Sci Eng C Mater Biol Appl","All authors","New",NA,255,1176,41.752,0.078,0.03,0.116,0.081,0.031,0.117,0.002,0.008
"Pulmonary Medicine","Eur Respir J","All authors","New",NA,254,1457,35.964,0.094,0.058,0.122,0.095,0.059,0.119,0,0
"Genetics","PLoS Genet","All authors","New",0.342,253,1509,41.418,0.046,0.016,0.078,0.047,0.018,0.081,0.009,0.027
"Neurology","J Neurophysiol","All authors","New",-0.001,251,934,27.302,0.009,-0.03,0.066,0.012,-0.028,0.069,0.767,0.834
"General Surgery","Ann Surg Oncol","All authors","New",0.376,250,1782,39.562,0.133,0.074,0.138,0.133,0.074,0.138,0,0
"Psychiatry","J Autism Dev Disord","All authors","New",NA,250,1081,64.662,0.046,-0.002,0.078,0.048,0.003,0.082,0.071,0.135
"Nutritional Sciences","J Sci Food Agric","All authors","New",-0.061,250,1164,47.079,0.099,0.035,0.127,0.101,0.037,0.133,0,0
"Hematology","Transfusion","All authors","New",0.068,250,1355,44.133,0.054,0.019,0.086,0.056,0.02,0.09,0.003,0.011
"Traumatology","Injury","All authors","New",NA,249,1212,18.812,0.095,0.046,0.134,0.097,0.049,0.139,0,0
"Endocrinology","Psychoneuroendocrinology","All authors","New",0.179,249,1267,53.828,0.064,0.024,0.103,0.065,0.024,0.103,0.001,0.004
"Medicine","Am J Med Genet","All authors","New",0.216,245,1618,58.035,0.015,-0.012,0.034,0.016,-0.01,0.035,0.363,0.472
"Nutritional Sciences","Br J Nutr","All authors","New",0.141,245,1432,55.726,0.073,0.026,0.09,0.073,0.028,0.09,0,0
"Otolaryngology","Eur Arch Otorhinolaryngol","All authors","New",NA,245,1280,28.672,0.041,0.007,0.08,0.042,0.009,0.083,0.044,0.092
"Ophthalmology","Invest Ophthalmol Vis Sci","All authors","New",0.234,245,1370,35.474,0.067,0.033,0.098,0.068,0.034,0.097,0.002,0.008
"Nutritional Sciences","Appetite","All authors","New",0.116,244,1026,71.053,0.102,0.033,0.129,0.103,0.033,0.134,0,0
"Public Health","Am J Public Health","All authors","New",0.318,243,887,54.228,0.136,0.054,0.165,0.139,0.053,0.172,0,0
"Neoplasms","Cancer","All authors","New",0.247,243,1401,41.685,0.073,0.055,0.119,0.075,0.057,0.123,0,0
"Brain","Brain Res","All authors","New",-0.06,241,952,44.643,0.067,0.022,0.134,0.068,0.031,0.136,0.023,0.057
"Nanotechnology","ACS Nano","All authors","New",0.511,238,1352,25.444,0.044,0.005,0.066,0.045,0.006,0.067,0.019,0.049
"Dermatology","J Am Acad Dermatol","All authors","New",0.45,238,1081,47.271,0.089,0.018,0.094,0.09,0.022,0.092,0.001,0.004
"Geriatrics","J Am Geriatr Soc","All authors","New",0.203,238,1212,47.525,0.068,0.034,0.106,0.067,0.031,0.102,0,0
"Cardiology","Am J Cardiol","All authors","New",0.132,237,1701,26.514,0.064,0.04,0.101,0.065,0.041,0.102,0,0
"Physiology","J Physiol (Lond)","All authors","New",NA,237,1023,31.867,0.063,0.025,0.111,0.064,0.03,0.114,0.016,0.043
"Cell Biology","Cell Rep","All authors","New",0.346,236,1662,40.493,0.035,0.003,0.052,0.036,0.003,0.05,0.012,0.034
"Chemistry","Colloids Surf B Biointerfaces","All authors","New",NA,235,1279,48.788,0.117,0.072,0.158,0.119,0.071,0.164,0,0
"Pulmonary Medicine","Chest","All authors","New",0.366,234,1023,33.138,0.018,-0.01,0.062,0.019,-0.009,0.065,0.505,0.606
"Environmental Health","Environ Monit Assess","All authors","New",-0.191,234,961,38.085,0.045,0,0.082,0.046,0.004,0.081,0.109,0.187
"Biochemistry","Int J Biol Macromol","All authors","New",0.004,234,1024,44.629,0.154,0.104,0.204,0.157,0.102,0.206,0,0
"Traumatology","Knee Surg Sports Traumatol Arthrosc","All authors","New",0.263,233,1235,15.628,0.101,0.026,0.121,0.103,0.028,0.119,0,0
"Neoplasms","Support Care Cancer","All authors","New",-0.101,233,1482,53.914,0.12,0.076,0.157,0.12,0.077,0.158,0,0
"Zoology","Zookeys","All authors","New",NA,233,769,27.958,0.097,0.029,0.147,0.1,0.033,0.151,0.007,0.022
"Psychiatry","Lancet Psychiatry","All authors","New",0.314,232,1016,41.437,0.028,0.002,0.064,0.029,0.001,0.069,0.27,0.376
"Tropical Medicine","Parasit Vectors","All authors","New",0.253,231,1352,38.536,0.059,0.037,0.113,0.061,0.04,0.112,0.001,0.004
"Physiology","Front Physiol","All authors","New",NA,230,1106,34.629,0.082,0.052,0.14,0.084,0.056,0.143,0,0
"Pulmonary Medicine","Ann Am Thorac Soc","All authors","New",NA,229,1105,35.837,0.044,0.005,0.068,0.045,0.009,0.069,0.062,0.121
"Medicine","Head Neck","All authors","New",NA,229,1424,29.916,0.077,0.033,0.103,0.079,0.032,0.103,0,0
"Medicine","Intensive Care Med","All authors","New",0.701,229,997,22.969,0.072,0.024,0.111,0.074,0.023,0.112,0.008,0.024
"Anesthesiology","Anesth Analg","All authors","New",0.287,227,1016,27.657,0.095,0.035,0.115,0.096,0.037,0.12,0,0
"Gastroenterology","Gastrointest Endosc","All authors","New",0.343,227,881,18.388,0.064,0.009,0.105,0.066,0.012,0.114,0.04,0.086
"Cardiology","JACC Cardiovasc Interv","All authors","New",NA,227,1153,13.443,0.055,0.016,0.073,0.058,0.016,0.073,0.019,0.049
"Microbiology","PLoS Pathog","All authors","New",0.393,227,1405,39.288,0.028,0,0.051,0.029,0,0.054,0.097,0.171
"Cardiology","Rev Esp Cardiol (Engl Ed)","All authors","New",NA,226,1115,27.085,0.073,0.018,0.094,0.075,0.019,0.096,0,0
"Neurology","Stroke","All authors","New",0.338,226,1277,33.359,0.07,0.026,0.089,0.072,0.028,0.095,0,0
"Bioinformatics","BMC Bioinformatics","All authors","New",0.097,225,888,23.423,0.005,-0.043,0.059,0.007,-0.037,0.058,0.883,0.921
"Physical and Rehabilitation Medicine","BMC Musculoskelet Disord","All authors","New",-0.044,225,1205,34.357,0.217,0.151,0.245,0.218,0.149,0.251,0,0
"Neurology","Neurosci Lett","All authors","New",-0.101,225,1144,39.073,0.069,0.026,0.111,0.07,0.026,0.111,0,0
"Unclassified","BMJ Qual Improv Rep","All authors","New",NA,223,720,51.944,0.177,0.077,0.21,0.179,0.077,0.217,0,0
"Neoplasms","Leuk Lymphoma","All authors","New",-0.015,223,1418,46.121,0.069,0.041,0.106,0.07,0.039,0.11,0.001,0.004
"Neurology","Neurosurgery","All authors","New",0.153,222,1042,15.835,-0.001,-0.017,0.047,0.001,-0.016,0.045,0.979,0.989
"Botany","New Phytol","All authors","New",0.265,222,1075,34.698,0.031,0.008,0.1,0.032,0.008,0.1,0.185,0.284
"Physiology","J Biomech","All authors","New",-0.01,221,941,26.886,0.092,0.041,0.148,0.093,0.037,0.153,0,0
"Biology","J Exp Biol","All authors","New",0.109,220,813,33.825,-0.026,-0.059,0.039,-0.026,-0.063,0.038,0.418,0.525
"General Surgery","Obes Surg","All authors","New",0.338,220,1203,33.333,0.111,0.048,0.13,0.113,0.052,0.131,0,0
"Physiology","Physiol Behav","All authors","New",-0.005,220,953,44.701,0.048,-0.001,0.094,0.051,0.002,0.098,0.067,0.129
"General Surgery","Int J Surg Case Rep","All authors","New",NA,219,962,20.686,0.089,0.025,0.144,0.092,0.028,0.147,0,0
"Immunology","J Allergy Clin Immunol","All authors","New",0.589,219,1495,40.334,0.092,0.045,0.099,0.093,0.044,0.1,0,0
"Neurology","J Neurol Sci","All authors","New",-0.097,219,1275,40.627,0.076,0.043,0.121,0.077,0.047,0.12,0,0
"Unclassified","Mol Inform","All authors","New",NA,218,821,25.457,0.058,0.003,0.114,0.059,0.005,0.12,0.066,0.128
