"journal","author_number","count","Discipline","percent"
"Acta Cardiol","1",72,"Cardiology",4.6
"Acta Cardiol","2",112,"Cardiology",7.2
"Acta Cardiol","3",353,"Cardiology",22.5
"Acta Cardiol","4",202,"Cardiology",12.9
"Acta Cardiol","5+",827,"Cardiology",52.8
"Acta Chim Slov","1",72,"Chemistry",9.3
"Acta Chim Slov","2",153,"Chemistry",19.7
"Acta Chim Slov","3",195,"Chemistry",25.1
"Acta Chim Slov","4",165,"Chemistry",21.2
"Acta Chim Slov","5+",193,"Chemistry",24.8
"Acta Chir Iugosl","1",33,"General Surgery",9.5
"Acta Chir Iugosl","2",15,"General Surgery",4.3
"Acta Chir Iugosl","3",25,"General Surgery",7.2
"Acta Chir Iugosl","4",33,"General Surgery",9.5
"Acta Chir Iugosl","5+",242,"General Surgery",69.5
"Acta Cir Bras","1",34,"General Surgery",2.3
"Acta Cir Bras","2",62,"General Surgery",4.2
"Acta Cir Bras","3",123,"General Surgery",8.4
"Acta Cir Bras","4",182,"General Surgery",12.4
"Acta Cir Bras","5+",1061,"General Surgery",72.6
"Acta Clin Croat","1",55,"Medicine",8.5
"Acta Clin Croat","2",56,"Medicine",8.6
"Acta Clin Croat","3",78,"Medicine",12
"Acta Clin Croat","4",86,"Medicine",13.3
"Acta Clin Croat","5+",373,"Medicine",57.6
"Acta Crystallogr","1",231,"Chemistry Techniques, Analytical",4.3
"Acta Crystallogr","2",917,"Chemistry Techniques, Analytical",17.2
"Acta Crystallogr","3",1309,"Chemistry Techniques, Analytical",24.6
"Acta Crystallogr","4",1367,"Chemistry Techniques, Analytical",25.7
"Acta Crystallogr","5+",1503,"Chemistry Techniques, Analytical",28.2
"Acta Crystallogr A Found Adv","1",43,"Chemistry Techniques, Analytical",32.1
"Acta Crystallogr A Found Adv","2",34,"Chemistry Techniques, Analytical",25.4
"Acta Crystallogr A Found Adv","3",27,"Chemistry Techniques, Analytical",20.1
"Acta Crystallogr A Found Adv","4",16,"Chemistry Techniques, Analytical",11.9
"Acta Crystallogr A Found Adv","5+",14,"Chemistry Techniques, Analytical",10.4
"Acta Crystallogr A Found Crystallogr","1",167,"Chemistry Techniques, Analytical",30
"Acta Crystallogr A Found Crystallogr","2",151,"Chemistry Techniques, Analytical",27.2
"Acta Crystallogr A Found Crystallogr","3",97,"Chemistry Techniques, Analytical",17.4
"Acta Crystallogr A Found Crystallogr","4",49,"Chemistry Techniques, Analytical",8.8
"Acta Crystallogr A Found Crystallogr","5+",92,"Chemistry Techniques, Analytical",16.5
"Acta Crystallogr B Struct Sci Cryst Eng Mater","1",46,"Chemistry Techniques, Analytical",14.2
"Acta Crystallogr B Struct Sci Cryst Eng Mater","2",40,"Chemistry Techniques, Analytical",12.4
"Acta Crystallogr B Struct Sci Cryst Eng Mater","3",68,"Chemistry Techniques, Analytical",21.1
"Acta Crystallogr B Struct Sci Cryst Eng Mater","4",55,"Chemistry Techniques, Analytical",17
"Acta Crystallogr B Struct Sci Cryst Eng Mater","5+",114,"Chemistry Techniques, Analytical",35.3
"Acta Crystallogr C Struct Chem","1",36,"Chemistry Techniques, Analytical",6.8
"Acta Crystallogr C Struct Chem","2",72,"Chemistry Techniques, Analytical",13.7
"Acta Crystallogr C Struct Chem","3",134,"Chemistry Techniques, Analytical",25.4
"Acta Crystallogr C Struct Chem","4",127,"Chemistry Techniques, Analytical",24.1
"Acta Crystallogr C Struct Chem","5+",158,"Chemistry Techniques, Analytical",30
"Acta Crystallogr D Biol Crystallogr","1",160,"Chemistry Techniques, Analytical",4.8
"Acta Crystallogr D Biol Crystallogr","2",288,"Chemistry Techniques, Analytical",8.6
"Acta Crystallogr D Biol Crystallogr","3",412,"Chemistry Techniques, Analytical",12.3
"Acta Crystallogr D Biol Crystallogr","4",545,"Chemistry Techniques, Analytical",16.2
"Acta Crystallogr D Biol Crystallogr","5+",1950,"Chemistry Techniques, Analytical",58.1
"Acta Crystallogr E Crystallogr Commun","1",43,"Chemistry Techniques, Analytical",3.3
"Acta Crystallogr E Crystallogr Commun","2",171,"Chemistry Techniques, Analytical",13.3
"Acta Crystallogr E Crystallogr Commun","3",282,"Chemistry Techniques, Analytical",22
"Acta Crystallogr E Crystallogr Commun","4",308,"Chemistry Techniques, Analytical",24
"Acta Crystallogr E Crystallogr Commun","5+",480,"Chemistry Techniques, Analytical",37.4
"Acta Crystallogr F Struct Biol Commun","1",12,"Chemistry Techniques, Analytical",1.8
"Acta Crystallogr F Struct Biol Commun","2",77,"Chemistry Techniques, Analytical",11.5
"Acta Crystallogr F Struct Biol Commun","3",81,"Chemistry Techniques, Analytical",12.1
"Acta Crystallogr F Struct Biol Commun","4",130,"Chemistry Techniques, Analytical",19.5
"Acta Crystallogr F Struct Biol Commun","5+",368,"Chemistry Techniques, Analytical",55.1
"Acta Crystallogr Sect E Struct Rep Online","1",1639,"Chemistry Techniques, Analytical",7.3
"Acta Crystallogr Sect E Struct Rep Online","2",2951,"Chemistry Techniques, Analytical",13.1
"Acta Crystallogr Sect E Struct Rep Online","3",5082,"Chemistry Techniques, Analytical",22.5
"Acta Crystallogr Sect E Struct Rep Online","4",5634,"Chemistry Techniques, Analytical",24.9
"Acta Crystallogr Sect E Struct Rep Online","5+",7290,"Chemistry Techniques, Analytical",32.3
"Acta Crystallogr Sect F Struct Biol Cryst Commun","1",14,"Chemistry Techniques, Analytical",0.5
"Acta Crystallogr Sect F Struct Biol Cryst Commun","2",184,"Chemistry Techniques, Analytical",6.4
"Acta Crystallogr Sect F Struct Biol Cryst Commun","3",274,"Chemistry Techniques, Analytical",9.5
"Acta Crystallogr Sect F Struct Biol Cryst Commun","4",527,"Chemistry Techniques, Analytical",18.3
"Acta Crystallogr Sect F Struct Biol Cryst Commun","5+",1885,"Chemistry Techniques, Analytical",65.4
"Acta Cytol","1",131,"Cell Biology",6.5
"Acta Cytol","2",233,"Cell Biology",11.6
"Acta Cytol","3",402,"Cell Biology",20
"Acta Cytol","4",401,"Cell Biology",20
"Acta Cytol","5+",841,"Cell Biology",41.9
"Acta Derm Venereol","1",77,"Dermatology",2.7
"Acta Derm Venereol","2",241,"Dermatology",8.6
"Acta Derm Venereol","3",439,"Dermatology",15.6
"Acta Derm Venereol","4",511,"Dermatology",18.2
"Acta Derm Venereol","5+",1542,"Dermatology",54.9
"Acta Dermatovenerol Alp Pannonica Adriat","1",28,"Dermatology",11.1
"Acta Dermatovenerol Alp Pannonica Adriat","2",48,"Dermatology",19
"Acta Dermatovenerol Alp Pannonica Adriat","3",37,"Dermatology",14.6
"Acta Dermatovenerol Alp Pannonica Adriat","4",50,"Dermatology",19.8
"Acta Dermatovenerol Alp Pannonica Adriat","5+",90,"Dermatology",35.6
"Acta Dermatovenerol Croat","1",80,"Dermatology",12.2
"Acta Dermatovenerol Croat","2",87,"Dermatology",13.2
"Acta Dermatovenerol Croat","3",125,"Dermatology",19
"Acta Dermatovenerol Croat","4",127,"Dermatology",19.3
"Acta Dermatovenerol Croat","5+",239,"Dermatology",36.3
"Acta Diabetol","1",19,"Endocrinology",2.7
"Acta Diabetol","2",39,"Endocrinology",5.5
"Acta Diabetol","3",57,"Endocrinology",8
"Acta Diabetol","4",71,"Endocrinology",9.9
"Acta Diabetol","5+",529,"Endocrinology",74
"Acta Gastroenterol Belg","1",43,"Gastroenterology",12.1
"Acta Gastroenterol Belg","2",25,"Gastroenterology",7
"Acta Gastroenterol Belg","3",31,"Gastroenterology",8.7
"Acta Gastroenterol Belg","4",53,"Gastroenterology",14.9
"Acta Gastroenterol Belg","5+",203,"Gastroenterology",57.2
"Acta Gastroenterol Latinoam","1",93,"Gastroenterology",14.9
"Acta Gastroenterol Latinoam","2",54,"Gastroenterology",8.6
"Acta Gastroenterol Latinoam","3",101,"Gastroenterology",16.1
"Acta Gastroenterol Latinoam","4",62,"Gastroenterology",9.9
"Acta Gastroenterol Latinoam","5+",316,"Gastroenterology",50.5
"Acta Haematol","1",66,"Hematology",5.5
"Acta Haematol","2",112,"Hematology",9.3
"Acta Haematol","3",112,"Hematology",9.3
"Acta Haematol","4",111,"Hematology",9.2
"Acta Haematol","5+",801,"Hematology",66.6
"Acta Histochem","1",84,"Cell Biology",6.9
"Acta Histochem","2",115,"Cell Biology",9.4
"Acta Histochem","3",135,"Cell Biology",11
"Acta Histochem","4",171,"Cell Biology",14
"Acta Histochem","5+",717,"Cell Biology",58.7
"Acta Histochem Cytochem","1",5,"Unclassified",1.9
"Acta Histochem Cytochem","2",22,"Unclassified",8.2
"Acta Histochem Cytochem","3",21,"Unclassified",7.8
"Acta Histochem Cytochem","4",23,"Unclassified",8.6
"Acta Histochem Cytochem","5+",198,"Unclassified",73.6
"Acta Inform Med","1",53,"Medicine",14.2
"Acta Inform Med","2",48,"Medicine",12.9
"Acta Inform Med","3",73,"Medicine",19.6
"Acta Inform Med","4",76,"Medicine",20.4
"Acta Inform Med","5+",122,"Medicine",32.8
"Acta Med Croatica","1",230,"Medicine",20.7
"Acta Med Croatica","2",168,"Medicine",15.1
"Acta Med Croatica","3",193,"Medicine",17.4
"Acta Med Croatica","4",153,"Medicine",13.8
"Acta Med Croatica","5+",366,"Medicine",33
"Acta Med Hist Adriat","1",93,"Medicine",49.5
"Acta Med Hist Adriat","2",34,"Medicine",18.1
"Acta Med Hist Adriat","3",29,"Medicine",15.4
"Acta Med Hist Adriat","4",13,"Medicine",6.9
"Acta Med Hist Adriat","5+",19,"Medicine",10.1
"Acta Med Indones","1",154,"Medicine",25.5
"Acta Med Indones","2",111,"Medicine",18.3
"Acta Med Indones","3",108,"Medicine",17.9
"Acta Med Indones","4",95,"Medicine",15.7
"Acta Med Indones","5+",137,"Medicine",22.6
"Acta Med Iran","1",38,"Medicine",3.7
"Acta Med Iran","2",99,"Medicine",9.7
"Acta Med Iran","3",170,"Medicine",16.7
"Acta Med Iran","4",222,"Medicine",21.9
"Acta Med Iran","5+",487,"Medicine",47.9
"Acta Med Okayama","1",11,"Medicine",1.5
"Acta Med Okayama","2",36,"Medicine",5
"Acta Med Okayama","3",65,"Medicine",9
"Acta Med Okayama","4",79,"Medicine",10.9
"Acta Med Okayama","5+",532,"Medicine",73.6
"Acta Med Port","1",173,"Medicine",11.3
"Acta Med Port","2",200,"Medicine",13.1
"Acta Med Port","3",262,"Medicine",17.1
"Acta Med Port","4",258,"Medicine",16.9
"Acta Med Port","5+",635,"Medicine",41.6
"Acta Medica (Hradec Kralove)","1",36,"Medicine",7.1
"Acta Medica (Hradec Kralove)","2",76,"Medicine",15
"Acta Medica (Hradec Kralove)","3",84,"Medicine",16.5
"Acta Medica (Hradec Kralove)","4",104,"Medicine",20.5
"Acta Medica (Hradec Kralove)","5+",208,"Medicine",40.9
"Acta Microbiol Immunol Hung","1",37,"Immunology",9.8
"Acta Microbiol Immunol Hung","2",32,"Immunology",8.4
"Acta Microbiol Immunol Hung","3",51,"Immunology",13.5
"Acta Microbiol Immunol Hung","4",58,"Immunology",15.3
"Acta Microbiol Immunol Hung","5+",201,"Immunology",53
"Acta Neurobiol Exp (Wars)","1",63,"Neurology",10.9
"Acta Neurobiol Exp (Wars)","2",106,"Neurology",18.4
"Acta Neurobiol Exp (Wars)","3",98,"Neurology",17
"Acta Neurobiol Exp (Wars)","4",92,"Neurology",16
"Acta Neurobiol Exp (Wars)","5+",217,"Neurology",37.7
"Acta Neurochir (Wien)","1",147,"Neurology",5.5
"Acta Neurochir (Wien)","2",230,"Neurology",8.6
"Acta Neurochir (Wien)","3",351,"Neurology",13.1
"Acta Neurochir (Wien)","4",520,"Neurology",19.4
"Acta Neurochir (Wien)","5+",1431,"Neurology",53.4
"Acta Neurochir Suppl","1",61,"Neurology",7.2
"Acta Neurochir Suppl","2",71,"Neurology",8.4
"Acta Neurochir Suppl","3",97,"Neurology",11.5
"Acta Neurochir Suppl","4",113,"Neurology",13.4
"Acta Neurochir Suppl","5+",503,"Neurology",59.5
"Acta Neurol Belg","1",57,"Neurology",6.6
"Acta Neurol Belg","2",92,"Neurology",10.7
"Acta Neurol Belg","3",158,"Neurology",18.4
"Acta Neurol Belg","4",157,"Neurology",18.3
"Acta Neurol Belg","5+",396,"Neurology",46
"Acta Neuropathol","1",114,"Neurology",5.6
"Acta Neuropathol","2",142,"Neurology",7
"Acta Neuropathol","3",159,"Neurology",7.8
"Acta Neuropathol","4",200,"Neurology",9.9
"Acta Neuropathol","5+",1415,"Neurology",69.7
"Acta Neuropathol Commun","1",1,"Neurology",0.3
"Acta Neuropathol Commun","2",13,"Neurology",3.3
"Acta Neuropathol Commun","3",14,"Neurology",3.5
"Acta Neuropathol Commun","4",31,"Neurology",7.8
"Acta Neuropathol Commun","5+",338,"Neurology",85.1
"Acta Neuropsychiatr","1",81,"Neurology",14.2
"Acta Neuropsychiatr","2",63,"Neurology",11.1
"Acta Neuropsychiatr","3",89,"Neurology",15.6
"Acta Neuropsychiatr","4",74,"Neurology",13
"Acta Neuropsychiatr","5+",263,"Neurology",46.1
"Acta Obstet Gynecol Scand","1",276,"Gynecology",7.9
"Acta Obstet Gynecol Scand","2",372,"Gynecology",10.6
"Acta Obstet Gynecol Scand","3",601,"Gynecology",17.1
"Acta Obstet Gynecol Scand","4",629,"Gynecology",17.9
"Acta Obstet Gynecol Scand","5+",1632,"Gynecology",46.5
"Acta Odontol Latinoam","1",0,"Dentistry",0
"Acta Odontol Latinoam","2",17,"Dentistry",5.3
"Acta Odontol Latinoam","3",48,"Dentistry",15.1
"Acta Odontol Latinoam","4",78,"Dentistry",24.5
"Acta Odontol Latinoam","5+",175,"Dentistry",55
"Acta Odontol Scand","1",30,"Dentistry",2.5
"Acta Odontol Scand","2",127,"Dentistry",10.4
"Acta Odontol Scand","3",224,"Dentistry",18.4
"Acta Odontol Scand","4",272,"Dentistry",22.4
"Acta Odontol Scand","5+",563,"Dentistry",46.3
"Acta Oncol","1",146,"Neoplasms",5.6
"Acta Oncol","2",165,"Neoplasms",6.4
"Acta Oncol","3",283,"Neoplasms",10.9
"Acta Oncol","4",387,"Neoplasms",14.9
"Acta Oncol","5+",1615,"Neoplasms",62.2
"Acta Ophthalmol","1",155,"Ophthalmology",6.6
"Acta Ophthalmol","2",224,"Ophthalmology",9.5
"Acta Ophthalmol","3",358,"Ophthalmology",15.2
"Acta Ophthalmol","4",447,"Ophthalmology",18.9
"Acta Ophthalmol","5+",1176,"Ophthalmology",49.8
"Acta Ophthalmol Scand","1",89,"Ophthalmology",9.4
"Acta Ophthalmol Scand","2",140,"Ophthalmology",14.8
"Acta Ophthalmol Scand","3",210,"Ophthalmology",22.2
"Acta Ophthalmol Scand","4",192,"Ophthalmology",20.3
"Acta Ophthalmol Scand","5+",315,"Ophthalmology",33.3
"Acta Orthop","1",75,"Orthopedics",5
"Acta Orthop","2",125,"Orthopedics",8.3
"Acta Orthop","3",217,"Orthopedics",14.3
"Acta Orthop","4",282,"Orthopedics",18.6
"Acta Orthop","5+",816,"Orthopedics",53.9
"Acta Orthop Belg","1",57,"Orthopedics",3.5
"Acta Orthop Belg","2",216,"Orthopedics",13.4
"Acta Orthop Belg","3",381,"Orthopedics",23.6
"Acta Orthop Belg","4",411,"Orthopedics",25.4
"Acta Orthop Belg","5+",552,"Orthopedics",34.1
"Acta Orthop Scand","1",21,"Orthopedics",5.4
"Acta Orthop Scand","2",49,"Orthopedics",12.7
"Acta Orthop Scand","3",60,"Orthopedics",15.5
"Acta Orthop Scand","4",90,"Orthopedics",23.3
"Acta Orthop Scand","5+",167,"Orthopedics",43.2
"Acta Orthop Traumatol Turc","1",53,"Traumatology",4.1
"Acta Orthop Traumatol Turc","2",103,"Traumatology",8
"Acta Orthop Traumatol Turc","3",204,"Traumatology",15.9
"Acta Orthop Traumatol Turc","4",323,"Traumatology",25.2
"Acta Orthop Traumatol Turc","5+",600,"Traumatology",46.8
"Acta Ortop Bras","1",3,"Unclassified",1.1
"Acta Ortop Bras","2",14,"Unclassified",5.1
"Acta Ortop Bras","3",32,"Unclassified",11.8
"Acta Ortop Bras","4",36,"Unclassified",13.2
"Acta Ortop Bras","5+",187,"Unclassified",68.8
"Acta Ortop Mex","1",41,"Orthopedics",15.5
"Acta Ortop Mex","2",51,"Orthopedics",19.3
"Acta Ortop Mex","3",67,"Orthopedics",25.4
"Acta Ortop Mex","4",38,"Orthopedics",14.4
"Acta Ortop Mex","5+",67,"Orthopedics",25.4
"Acta Otolaryngol","1",74,"Otolaryngology",2.5
"Acta Otolaryngol","2",232,"Otolaryngology",7.8
"Acta Otolaryngol","3",399,"Otolaryngology",13.3
"Acta Otolaryngol","4",510,"Otolaryngology",17.1
"Acta Otolaryngol","5+",1775,"Otolaryngology",59.4
"Acta Otolaryngol Suppl","1",12,"Otolaryngology",4.3
"Acta Otolaryngol Suppl","2",24,"Otolaryngology",8.6
"Acta Otolaryngol Suppl","3",27,"Otolaryngology",9.6
"Acta Otolaryngol Suppl","4",49,"Otolaryngology",17.5
"Acta Otolaryngol Suppl","5+",168,"Otolaryngology",60
"Acta Otorrinolaringol Esp","1",35,"Otolaryngology",3.9
"Acta Otorrinolaringol Esp","2",67,"Otolaryngology",7.5
"Acta Otorrinolaringol Esp","3",173,"Otolaryngology",19.3
"Acta Otorrinolaringol Esp","4",241,"Otolaryngology",26.8
"Acta Otorrinolaringol Esp","5+",382,"Otolaryngology",42.5
"Acta Paediatr","1",429,"Pediatrics",12
"Acta Paediatr","2",384,"Pediatrics",10.7
"Acta Paediatr","3",504,"Pediatrics",14.1
"Acta Paediatr","4",569,"Pediatrics",15.9
"Acta Paediatr","5+",1701,"Pediatrics",47.4
"Acta Parasitol","1",15,"Parasitology",3.4
"Acta Parasitol","2",67,"Parasitology",15.1
"Acta Parasitol","3",94,"Parasitology",21.2
"Acta Parasitol","4",79,"Parasitology",17.8
"Acta Parasitol","5+",188,"Parasitology",42.4
"Acta Pharm","1",16,"Pharmacology",3
"Acta Pharm","2",85,"Pharmacology",15.8
"Acta Pharm","3",148,"Pharmacology",27.6
"Acta Pharm","4",124,"Pharmacology",23.1
"Acta Pharm","5+",164,"Pharmacology",30.5
"Acta Pharm Hung","1",51,"Pharmacology",17.7
